prefix	sample_class	code_field	blank	sample_type	full_path	original_filename	investigation	investigation_id	study	assay	fileid
MSM_Apolar_AMPFrac1_C30LCMS_neg_inj1	COMPOUND.D.CULT.D.APOL.D.AMP.1.D.C30.0.D.LCMS.NEGATIVE	COMPOUND_D-CULT_D-APOL_D-AMP_1_D-C30_0_D-LCMS_NEGATIVE	no	COMPOUND	data/files/2022_04_25_163219/MSM_Apolar_AMPFrac1_C30LCMS_neg_inj1.raw	MSM_Apolar_AMPFrac1_C30LCMS_neg_inj1.raw	dma_daphnia_magna	1	DMA of D. magna (2022)	APOL_AMP_1_C30_MSM_NEG	1
MSM_Apolar_AMPFrac1_C30LCMS_neg_inj1	COMPOUND.D.CULT.D.APOL.D.AMP.1.D.C30.0.D.LCMS.NEGATIVE	COMPOUND_D-CULT_D-APOL_D-AMP_1_D-C30_0_D-LCMS_NEGATIVE	no	COMPOUND	data/files/2022_04_25_163219/MSM_Apolar_AMPFrac1_C30LCMS_neg_inj1.mzML	MSM_Apolar_AMPFrac1_C30LCMS_neg_inj1.mzML	dma_daphnia_magna	1	DMA of D. magna (2022)	APOL_AMP_1_C30_MSM_NEG	2
MSM_Apolar_AMPFrac1_C30LCMS_neg_inj2	COMPOUND.D.CULT.D.APOL.D.AMP.1.D.C30.0.D.LCMS.NEGATIVE	COMPOUND_D-CULT_D-APOL_D-AMP_1_D-C30_0_D-LCMS_NEGATIVE	no	COMPOUND	data/files/2022_04_25_163219/MSM_Apolar_AMPFrac1_C30LCMS_neg_inj2.raw	MSM_Apolar_AMPFrac1_C30LCMS_neg_inj2.raw	dma_daphnia_magna	1	DMA of D. magna (2022)	APOL_AMP_1_C30_MSM_NEG	3
MSM_Apolar_AMPFrac1_C30LCMS_neg_inj2	COMPOUND.D.CULT.D.APOL.D.AMP.1.D.C30.0.D.LCMS.NEGATIVE	COMPOUND_D-CULT_D-APOL_D-AMP_1_D-C30_0_D-LCMS_NEGATIVE	no	COMPOUND	data/files/2022_04_25_163219/MSM_Apolar_AMPFrac1_C30LCMS_neg_inj2.mzML	MSM_Apolar_AMPFrac1_C30LCMS_neg_inj2.mzML	dma_daphnia_magna	1	DMA of D. magna (2022)	APOL_AMP_1_C30_MSM_NEG	4
MSM_Apolar_AMPFrac1_C30LCMS_neg_inj3	COMPOUND.D.CULT.D.APOL.D.AMP.1.D.C30.0.D.LCMS.NEGATIVE	COMPOUND_D-CULT_D-APOL_D-AMP_1_D-C30_0_D-LCMS_NEGATIVE	no	COMPOUND	data/files/2022_04_25_163219/MSM_Apolar_AMPFrac1_C30LCMS_neg_inj3.raw	MSM_Apolar_AMPFrac1_C30LCMS_neg_inj3.raw	dma_daphnia_magna	1	DMA of D. magna (2022)	APOL_AMP_1_C30_MSM_NEG	5
MSM_Apolar_AMPFrac1_C30LCMS_neg_inj3	COMPOUND.D.CULT.D.APOL.D.AMP.1.D.C30.0.D.LCMS.NEGATIVE	COMPOUND_D-CULT_D-APOL_D-AMP_1_D-C30_0_D-LCMS_NEGATIVE	no	COMPOUND	data/files/2022_04_25_163219/MSM_Apolar_AMPFrac1_C30LCMS_neg_inj3.mzML	MSM_Apolar_AMPFrac1_C30LCMS_neg_inj3.mzML	dma_daphnia_magna	1	DMA of D. magna (2022)	APOL_AMP_1_C30_MSM_NEG	6
MSM_Apolar_AMPFrac1_C30LCMSMS_COMBO_neg_inj1	COMPOUND.D.CULT.D.APOL.D.AMP.1.D.C30.0.D.LCMSMS.NEGATIVE	COMPOUND_D-CULT_D-APOL_D-AMP_1_D-C30_0_D-LCMSMS_NEGATIVE	no	COMPOUND	data/files/2022_04_25_163219/MSM_Apolar_AMPFrac1_C30LCMSMS_COMBO_neg_inj1.raw	MSM_Apolar_AMPFrac1_C30LCMSMS_COMBO_neg_inj1.raw	dma_daphnia_magna	1	DMA of D. magna (2022)	APOL_AMP_1_C30_MSM_NEG	7
MSM_Apolar_AMPFrac1_C30LCMSMS_COMBO_neg_inj1	COMPOUND.D.CULT.D.APOL.D.AMP.1.D.C30.0.D.LCMSMS.NEGATIVE	COMPOUND_D-CULT_D-APOL_D-AMP_1_D-C30_0_D-LCMSMS_NEGATIVE	no	COMPOUND	data/files/2022_04_25_163219/MSM_Apolar_AMPFrac1_C30LCMSMS_COMBO_neg_inj1.mzML	MSM_Apolar_AMPFrac1_C30LCMSMS_COMBO_neg_inj1.mzML	dma_daphnia_magna	1	DMA of D. magna (2022)	APOL_AMP_1_C30_MSM_NEG	8
MSM_Apolar_AMPFrac1_C30LCMSMS_COMBO_neg_inj2	COMPOUND.D.CULT.D.APOL.D.AMP.1.D.C30.0.D.LCMSMS.NEGATIVE	COMPOUND_D-CULT_D-APOL_D-AMP_1_D-C30_0_D-LCMSMS_NEGATIVE	no	COMPOUND	data/files/2022_04_25_163220/MSM_Apolar_AMPFrac1_C30LCMSMS_COMBO_neg_inj2.raw	MSM_Apolar_AMPFrac1_C30LCMSMS_COMBO_neg_inj2.raw	dma_daphnia_magna	1	DMA of D. magna (2022)	APOL_AMP_1_C30_MSM_NEG	9
MSM_Apolar_AMPFrac1_C30LCMSMS_COMBO_neg_inj2	COMPOUND.D.CULT.D.APOL.D.AMP.1.D.C30.0.D.LCMSMS.NEGATIVE	COMPOUND_D-CULT_D-APOL_D-AMP_1_D-C30_0_D-LCMSMS_NEGATIVE	no	COMPOUND	data/files/2022_04_25_163220/MSM_Apolar_AMPFrac1_C30LCMSMS_COMBO_neg_inj2.mzML	MSM_Apolar_AMPFrac1_C30LCMSMS_COMBO_neg_inj2.mzML	dma_daphnia_magna	1	DMA of D. magna (2022)	APOL_AMP_1_C30_MSM_NEG	10
