id,assay_short,assay_name,shared url,galaxy_file_xdata_url,galaxy_file_pl_url
49,AP_AMP_1_C30,APOL_AMP_1_C30_NEG,https://dma.galaxy.bham.ac.uk/u/lawsontn/h/apolamp1c30neg-1,https://dma.galaxy.bham.ac.uk/datasets/ecb01b33592b9b90/display?to_ext=rdata.xcms.group,https://dma.galaxy.bham.ac.uk/datasets/279a878f476e81f1/display?to_ext=tabular
50,AP_AMP_1_C30,APOL_AMP_1_C30_POS,https://dma.galaxy.bham.ac.uk/u/lawsontn/h/apolamp1c30pos,https://dma.galaxy.bham.ac.uk/datasets/28cab30f10b2698c/display?to_ext=rdata.xcms.group,https://dma.galaxy.bham.ac.uk/datasets/1fd6d4833ffccbcf/display?to_ext=tabular
51,AP_AMP_2_C30,APOL_AMP_2_C30_NEG,https://dma.galaxy.bham.ac.uk/u/lawsontn/h/apolamp2c30neg,https://dma.galaxy.bham.ac.uk/datasets/5dab72b632edc0d0/display?to_ext=rdata.xcms.group,https://dma.galaxy.bham.ac.uk/datasets/a223998a9b395658/display?to_ext=tabular
52,AP_AMP_2_C30,APOL_AMP_2_C30_POS,https://dma.galaxy.bham.ac.uk/u/lawsontn/h/apolamp2c30pos,https://dma.galaxy.bham.ac.uk/datasets/bdd8aa12dd1defb8/display?to_ext=rdata.xcms.group,https://dma.galaxy.bham.ac.uk/datasets/816d3fb0f29fa000/display?to_ext=tabular
53,AP_AMP_3_C30,APOL_AMP_3_C30_NEG,https://dma.galaxy.bham.ac.uk/u/lawsontn/h/apolamp3c30neg-1,https://dma.galaxy.bham.ac.uk/datasets/5902eb01a0f9c513/display?to_ext=rdata.xcms.group,https://dma.galaxy.bham.ac.uk/datasets/0dc326c401f1dda7/display?to_ext=tabular
54,AP_AMP_3_C30,APOL_AMP_3_C30_POS,https://dma.galaxy.bham.ac.uk/u/lawsontn/h/apolamp3c30pos-1,https://dma.galaxy.bham.ac.uk/datasets/3f9e5626bcc6a8d2/display?to_ext=rdata.xcms.group,https://dma.galaxy.bham.ac.uk/datasets/d7498f7601272613/display?to_ext=tabular
55,AP_AMP_4_C30,APOL_AMP_4_C30_NEG,https://dma.galaxy.bham.ac.uk/u/lawsontn/h/apolamp4c30neg,https://dma.galaxy.bham.ac.uk/datasets/e0cc7807ea2af615/display?to_ext=rdata.xcms.group,https://dma.galaxy.bham.ac.uk/datasets/2ccd97cf9701c0fc/display?to_ext=tabular
56,AP_AMP_4_C30,APOL_AMP_4_C30_POS,https://dma.galaxy.bham.ac.uk/u/lawsontn/h/apolamp4c30pos,https://dma.galaxy.bham.ac.uk/datasets/d258599331d76b0d/display?to_ext=rdata.xcms.group,https://dma.galaxy.bham.ac.uk/datasets/59b29f71ee8500a9/display?to_ext=tabular
57,AP_C18_1_C30,APOL_C18_1_C30_NEG,https://dma.galaxy.bham.ac.uk/u/lawsontn/h/apolc181c30neg,https://dma.galaxy.bham.ac.uk/datasets/033b058c1d34477f/display?to_ext=rdata.xcms.group,https://dma.galaxy.bham.ac.uk/datasets/3f7c4a4c768eca8e/display?to_ext=tabular
58,AP_C18_1_C30,APOL_C18_1_C30_POS,https://dma.galaxy.bham.ac.uk/u/lawsontn/h/apolc181c30pos-1,https://dma.galaxy.bham.ac.uk/datasets/c54e906e26e4caf2/display?to_ext=rdata.xcms.group,https://dma.galaxy.bham.ac.uk/datasets/f1a340ccfe9f52e4/display?to_ext=tabular
59,AP_C18_2_C30,APOL_C18_2_C30_NEG,https://dma.galaxy.bham.ac.uk/u/lawsontn/h/apolc182c30neg,https://dma.galaxy.bham.ac.uk/datasets/77a117776d05feee/display?to_ext=rdata.xcms.group,https://dma.galaxy.bham.ac.uk/datasets/c9b7a5d4f11c33d1/display?to_ext=tabular
60,AP_C18_2_C30,APOL_C18_2_C30_POS,https://dma.galaxy.bham.ac.uk/u/lawsontn/h/apolc182c30pos-1,https://dma.galaxy.bham.ac.uk/datasets/c11cad82efc569b1/display?to_ext=rdata.xcms.group,https://dma.galaxy.bham.ac.uk/datasets/88bfbb777161fdfc/display?to_ext=tabular
61,AP_C18_3_C30,APOL_C18_3_C30_NEG,https://dma.galaxy.bham.ac.uk/u/lawsontn/h/apolc183c30neg,https://dma.galaxy.bham.ac.uk/datasets/4bb845737f4bf595/display?to_ext=rdata.xcms.group,https://dma.galaxy.bham.ac.uk/datasets/692d005e4fd39660/display?to_ext=tabular
62,AP_C18_3_C30,APOL_C18_3_C30_POS,https://dma.galaxy.bham.ac.uk/u/lawsontn/h/apolc183c30pos-1,https://dma.galaxy.bham.ac.uk/datasets/c5dc625ce7aea088/display?to_ext=rdata.xcms.group,https://dma.galaxy.bham.ac.uk/datasets/e7a8384ceab235d9/display?to_ext=tabular
63,AP_CRUDE_0_C30,APOL_NA_NA_C30_NEG,https://dma.galaxy.bham.ac.uk/u/lawsontn/h/apolnanac30neg,https://dma.galaxy.bham.ac.uk/datasets/ad36892370f612da/display?to_ext=rdata.xcms.group,https://dma.galaxy.bham.ac.uk/datasets/33bd9d632655a533/display?to_ext=tabular
64,AP_CRUDE_0_C30,APOL_NA_NA_C30_POS,https://dma.galaxy.bham.ac.uk/u/lawsontn/h/apolnanac30pos,https://dma.galaxy.bham.ac.uk/datasets/9d92d8f847f432c7/display?to_ext=rdata.xcms.group,https://dma.galaxy.bham.ac.uk/datasets/2a63111a84da2bc9/display?to_ext=tabular
