HMDB_ID,Match to inchikey1,Match to inchikey,Name,Pubchem_ID,KEGG_ID,ChEBI_ID,CAS,InchiKey,SMILES,InchiKey,InchiKey1,In MML or resource,BASF,Bowes-44,Tox21,AOP Wiki,CTD,IPA,T3DB,Publications,Resource coverage (%),HMDB disease,IPA Toxicity function,AOP Wiki AO,Publication AO,AO source coverage (%),IPA pathway,KEGG pathway,Reactome pathway,PathBank pathway,Pathway source coverage (%),"Total coverage score, %",In S1500+ pathways,S1500+ consistency score,Assay availability,Standard availability,Measurement feasibility score
HMDB0000067,HVYWMOMLDIMFJA,HVYWMOMLDIMFJA-DPAQBDIFSA-N,Cholesterol,5997,C00187,16113,57-88-5,HVYWMOMLDIMFJA-DPAQBDIFSA-N,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C,HVYWMOMLDIMFJA-DPAQBDIFSA-N,HVYWMOMLDIMFJA,MML,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,87.5,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,100,95.8,KEGG/Reactome,1,1,1,2
HMDB0000148,WHUUTDBJXJRKMK,WHUUTDBJXJRKMK-VKHMYHEASA-N,L-Glutamic acid,33032,C00025,16015,56-86-0,WHUUTDBJXJRKMK-VKHMYHEASA-N,N[C@@H](CCC(O)=O)C(O)=O,WHUUTDBJXJRKMK-VKHMYHEASA-N,WHUUTDBJXJRKMK,MML,Yes,Yes,Yes,Yes,,,Yes,Yes,75,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,100,91.7,KEGG/Reactome,1,1,1,2
HMDB0000248,,,Thyroxine,5819,C01829,18332,51-48-9,XUIIKFGFIJCVMT-LBPRGKRZSA-N,N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C(I)=C2)C(I)=C1)C(O)=O,XUIIKFGFIJCVMT-LBPRGKRZSA-N,XUIIKFGFIJCVMT,MML,,,Yes,Yes,Yes,Yes,,Yes,62.5,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,100,87.5,KEGG/Reactome,1,1,1,2
HMDB0000158,OUYCCCASQSFEME,OUYCCCASQSFEME-QMMMGPOBSA-N,L-Tyrosine,6057,C00082,17895,60-18-4,OUYCCCASQSFEME-QMMMGPOBSA-N,N[C@@H](CC1=CC=C(O)C=C1)C(O)=O,OUYCCCASQSFEME-QMMMGPOBSA-N,OUYCCCASQSFEME,MML,Yes,,,Yes,Yes,,Yes,Yes,62.5,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,100,87.5,KEGG/Reactome,1,1,1,2
HMDB0000125,RWSXRVCMGQZWBV,RWSXRVCMGQZWBV-WDSKDSINSA-N,Glutathione,124886,C00051,16856,70-18-8,RWSXRVCMGQZWBV-WDSKDSINSA-N,N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(O)=O)C(O)=O,RWSXRVCMGQZWBV-WDSKDSINSA-N,RWSXRVCMGQZWBV,MML,,,,Yes,Yes,Yes,Yes,Yes,62.5,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,100,87.5,KEGG/Reactome,1,1,1,2
HMDB0000234,,,Testosterone,10204,C00535,17347,58-22-0,MUMGGOZAMZWBJJ-DYKIIFRCSA-N,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,MUMGGOZAMZWBJJ-DYKIIFRCSA-N,MUMGGOZAMZWBJJ,MML,Yes,,Yes,Yes,Yes,Yes,Yes,,75,Yes,Yes,Yes,,75,Yes,Yes,Yes,Yes,100,83.3,KEGG/Reactome,1,1,1,2
HMDB0000073,VYFYYTLLBUKUHU,VYFYYTLLBUKUHU-UHFFFAOYSA-N,Dopamine,681,C03758,18243,62-31-7,VYFYYTLLBUKUHU-UHFFFAOYSA-N,NCCC1=CC(O)=C(O)C=C1,VYFYYTLLBUKUHU-UHFFFAOYSA-N,VYFYYTLLBUKUHU,MML,Yes,Yes,,Yes,,Yes,Yes,Yes,75,Yes,Yes,Yes,,75,Yes,Yes,Yes,Yes,100,83.3,KEGG/Reactome,1,1,1,2
HMDB0001830,RJKFOVLPORLFTN,RJKFOVLPORLFTN-LEKSSAKUSA-N,Progesterone,5994,C00410,17026,57-83-0,RJKFOVLPORLFTN-LEKSSAKUSA-N,[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,RJKFOVLPORLFTN-LEKSSAKUSA-N,RJKFOVLPORLFTN,MML,Yes,,Yes,Yes,Yes,Yes,,Yes,75,Yes,Yes,Yes,,75,Yes,Yes,Yes,Yes,100,83.3,KEGG/Reactome,1,1,1,2
HMDB0000122,WQZGKKKJIJFFOK,WQZGKKKJIJFFOK-GASJEMHNSA-N,D-Glucose,5793,C00031,4167,2280-44-6,WQZGKKKJIJFFOK-GASJEMHNSA-N,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,WQZGKKKJIJFFOK-GASJEMHNSA-N,WQZGKKKJIJFFOK,MML,Yes,,,Yes,Yes,Yes,Yes,Yes,75,Yes,Yes,Yes,Yes,100,Yes,Yes,,Yes,75,83.3,KEGG,1,1,1,2
HMDB0001220,XEYBRNLFEZDVAW,XEYBRNLFEZDVAW-ARSRFYASSA-N,Prostaglandin E2,5280360,C00584,15551,363-24-6,XEYBRNLFEZDVAW-ARSRFYASSA-N,CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1C\C=C/CCCC(O)=O,XEYBRNLFEZDVAW-ARSRFYASSA-N,XEYBRNLFEZDVAW,MML,,,Yes,Yes,Yes,Yes,,Yes,62.5,Yes,Yes,Yes,,75,Yes,Yes,Yes,Yes,100,79.2,KEGG/Reactome,1,1,1,2
