"","inchikey","COMPOUND_ID","ID","SPECIES_TEXT","SPECIES_ACCESSION","COMPONENT_TEXT","COMPONENT_ACCESSION","STRAIN_TEXT","STRAIN_ACCESSION","SOURCE_TYPE","SOURCE_ACCESSION","COMMENTS","V12","STATUS","CHEBI_ACCESSION","SOURCE","PARENT_ID","NAME","DEFINITION","MODIFIED_ON","CREATED_BY","STAR","kingdom","superclass","class","subclass","direct_parent","molecular_framework","predicted_lipimaps_terms"
"1","AAASNKNLMQBKFV-UHFFFAOYSA-N",85124,9222,"Centella asiatica","NCBI:txid48106","null","null","null","null","MetaboLights","MTBLS175","null","","C","CHEBI:85124","ChEBI","null","quercetin 5,7,3',4'-tetramethyl ether","A tetramethoxyflavone that is  the 5,7,3',4'-tetramethy-derivative of quercetin.","2015-03-06","namrata",3,"Organic compounds","Phenylpropanoids and polyketides","Flavonoids","Flavones","Flavonols","Aromatic heteropolycyclic compounds","Flavones and Flavonols (PK1211), Benzopyranoids (PK1311)"
"2","AABHSZUTAUSICN-HZJYTTRNSA-N",69547,4889,"Styrax agrestis","NCBI:txid153522","ripe fruit","PO:0007038","null","null","PubMed Id","21939219","Dried, powdered fruits were extracted with ethylacetate.","","C","CHEBI:69547","MolConn","null","7-demethoxyegonol-9(Z),12(Z)linoleate","A fatty acid ester that is egonol-9(Z),12(Z)linoleate in which the methoxy group at position 7 is replaced by a hydrogen. Isolated from the fruits of Styrax agrestis, it exhibits inhibitory activity against acetylcholinesterase.","2019-10-07","LOADER",3,"Organic compounds","Phenylpropanoids and polyketides","2-arylbenzofuran flavonoids","","2-arylbenzofuran flavonoids","Aromatic heteropolycyclic compounds","Fatty Acyls (FA), Benzofuranoids (PK1310), Fatty esters (FA07)"
"3","AABTWRKUKUPMJG-UHFFFAOYSA-N",89526,14061,"Homo sapiens","NCBI:txid9606","saliva","UBERON:0001836","null","null","PubMed Id","24421258","null","","C","CHEBI:89526","HMDB","null","2,4-dimethylfuran","A member of the class of furans that is furan in which the hydrogens at positions 2 and 4 are replaced by methyl groups.","2021-06-17","LOADER",3,"Organic compounds","Organoheterocyclic compounds","Heteroaromatic compounds","","Heteroaromatic compounds","Aromatic heteromonocyclic compounds",""
"4","AADQFNAACHHRLT-UHFFFAOYSA-N",88567,11084,"Homo sapiens","NCBI:txid9606","saliva","UBERON:0001836","null","null","PubMed Id","24421258","null","","E","CHEBI:88567","HMDB","null","2,4-Dimethyl-1-(1-methylethyl)-benzene","null","null","LOADER",2,"","","","","","",""
"5","AAGCATAPYOEULE-LHHMAMHXSA-N",132820,21622,"Symplocos caudata","NCBI:txid239693","root","BTO:0001188","null","null","PubMed Id","17905350","null","","C","CHEBI:132820","SUBMITTER","null","matairesinoside","A lignan that is (-)-matairesinol in which one of the phenolic hydroxy groups has been replaced by a beta-D-glucosyl residue.","2017-04-12","liuqingping",3,"Organic compounds","Lignans, neolignans and related compounds","Lignan glycosides","","Lignan glycosides","Aromatic heteromonocyclic compounds","Fatty acyl glycosides of mono- and disaccharides (FA1301), Fatty acyl glycosides (FA13), Fatty Acyls (FA)"
"6","AAGCATAPYOEULE-LHHMAMHXSA-N",132820,21623,"Cupressus duclouxiana","NCBI:txid103966","branch","BTO:0000148","null","null","PubMed Id","16753802","null","","C","CHEBI:132820","SUBMITTER","null","matairesinoside","A lignan that is (-)-matairesinol in which one of the phenolic hydroxy groups has been replaced by a beta-D-glucosyl residue.","2017-04-12","liuqingping",3,"Organic compounds","Lignans, neolignans and related compounds","Lignan glycosides","","Lignan glycosides","Aromatic heteromonocyclic compounds","Fatty acyl glycosides of mono- and disaccharides (FA1301), Fatty acyl glycosides (FA13), Fatty Acyls (FA)"
"7","AAGCATAPYOEULE-LHHMAMHXSA-N",132820,21621,"Styrax japonica","NCBI:txid59680","bark","BTO:0001301","null","null","PubMed Id","15577246","null","","C","CHEBI:132820","SUBMITTER","null","matairesinoside","A lignan that is (-)-matairesinol in which one of the phenolic hydroxy groups has been replaced by a beta-D-glucosyl residue.","2017-04-12","liuqingping",3,"Organic compounds","Lignans, neolignans and related compounds","Lignan glycosides","","Lignan glycosides","Aromatic heteromonocyclic compounds","Fatty acyl glycosides of mono- and disaccharides (FA1301), Fatty acyl glycosides (FA13), Fatty Acyls (FA)"
"8","AAGCATAPYOEULE-LHHMAMHXSA-N",132820,21625,"Cirsium arvense","NCBI:txid41550","fruit","BTO:0000486","null","null","PubMed Id","22396124","null","","C","CHEBI:132820","SUBMITTER","null","matairesinoside","A lignan that is (-)-matairesinol in which one of the phenolic hydroxy groups has been replaced by a beta-D-glucosyl residue.","2017-04-12","liuqingping",3,"Organic compounds","Lignans, neolignans and related compounds","Lignan glycosides","","Lignan glycosides","Aromatic heteromonocyclic compounds","Fatty acyl glycosides of mono- and disaccharides (FA1301), Fatty acyl glycosides (FA13), Fatty Acyls (FA)"
"9","AAGCATAPYOEULE-LHHMAMHXSA-N",132820,21630,"Saussurea salicifolia","NCBI:txid446849","aerial part","BTO:0001658","null","null","PubMed Id","18057725","null","","C","CHEBI:132820","SUBMITTER","null","matairesinoside","A lignan that is (-)-matairesinol in which one of the phenolic hydroxy groups has been replaced by a beta-D-glucosyl residue.","2017-04-12","liuqingping",3,"Organic compounds","Lignans, neolignans and related compounds","Lignan glycosides","","Lignan glycosides","Aromatic heteromonocyclic compounds","Fatty acyl glycosides of mono- and disaccharides (FA1301), Fatty acyl glycosides (FA13), Fatty Acyls (FA)"
"10","AAGCATAPYOEULE-LHHMAMHXSA-N",132820,21624,"Plectocephalus americanus","NCBI:txid41506","seed","BTO:0001226","null","null","PubMed Id","16996096","null","","C","CHEBI:132820","SUBMITTER","null","matairesinoside","A lignan that is (-)-matairesinol in which one of the phenolic hydroxy groups has been replaced by a beta-D-glucosyl residue.","2017-04-12","liuqingping",3,"Organic compounds","Lignans, neolignans and related compounds","Lignan glycosides","","Lignan glycosides","Aromatic heteromonocyclic compounds","Fatty acyl glycosides of mono- and disaccharides (FA1301), Fatty acyl glycosides (FA13), Fatty Acyls (FA)"
