"superclass","count"
"Lipids and lipid-like molecules",3202
"Organic acids and derivatives",2173
"Organoheterocyclic compounds",656
"Organic oxygen compounds",572
"Benzenoids",489
"Phenylpropanoids and polyketides",306
"",247
"Organic nitrogen compounds",221
"Nucleosides, nucleotides, and analogues",185
"Organosulfur compounds",44
"Alkaloids and derivatives",32
"Hydrocarbons",17
"Organophosphorus compounds",17
"Lignans, neolignans and related compounds",11
"Organic Polymers",6
"Organic 1,3-dipolar compounds",2
"Organometallic compounds",1
