database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	inchikey	inchikey1	smiles	chemical_formula	monoisotopic_exact_mass	all_names	pubchem_cids	hmdb_ids	kegg_ids	natural_product_inchikey1	kingdom	superclass	class	subclass	direct_parent	molecular_framework	predicted_lipidmaps_terms	assays	extraction	spe	spe_frac	chromatography	measurement	polarity	lcmsdimsbool	gcmsbool	nmrbool	smbool	mfbool	siriusbool	mzcloudsmbool	galaxysmbool	gnpssmbool	representative_well	representative_assay	representative_measurement
CHEBI:10138	C17H24O3	CCCCC/C=C/C(=O)CCC1=CC(=C(C=C1)O)OC		6-shogaol	277.1795304			[M+H]+	929.117												OQWKEEOHDMUXEO-BQYQJAHWSA-N	OQWKEEOHDMUXEO	CCCCC/C=C/C(=O)CCC1=CC(=C(C=C1)O)OC	C17H24O3	276.1725446	6-Shogaol	5281794	HMDB0137236	C10494	TRUE	Organic compounds	Benzenoids	Phenols	Methoxyphenols	Shogaols	Aromatic homomonocyclic compounds		"POL_WAX_2_PHE_POS, POL_WCX_1_PHE_POS"	POLAR	"WAX, WCX"	"WAX_2, WCX_1"	PHE	LCMSMS	POSITIVE	1	0	0	0	1	1	0	0	0		POL_WCX_1_PHE_POS	LCMSMS
CHEBI:10565	C9H13N3O5	C(CC(=O)N[C@@H](CC		gamma-Glutamyl-beta-cyanoalanine	244.092669			[M+H]+	1.05												QUAADUAOVLZBJM-WDSKDSINSA-N	QUAADUAOVLZBJM	C(CC(=O)N[C@@H](CC	C9H13N3O5	243.0855205	gamma-Glutamyl-beta-cyanoalanine	53297342	HMDB0060478	C05711	TRUE	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	"Amino acids, peptides, and analogues"	Dipeptides	Aliphatic acyclic compounds	"Dicarboxylic acids (FA0117), Fatty Acids and Conjugates (FA01), N-acyl amines (FA0802), Fatty Acyls (FA), Fatty amides (FA08)"	"POL_WAX_1_AMD_POS, POL_WCX_1_AMD_POS, POL_WCX_1_PHE_POS"	POLAR	"WAX, WCX"	"WAX_1, WCX_1"	"AMD, PHE"	"DIMSn, LCMSMS"	POSITIVE	1	0	0	0	1	1	0	0	0	A03	POL_WCX_1_PHE_POS	DIMSn
CHEBI:116314	C18H35NO	CCCCCCCC/C=C\CCCCCCCC(=O)N		(9Z)-octadec-9-enamide	282.2789852			[M+H]+	4.35												FATBGEAMYMYZAF-KTKRTIGZSA-N	FATBGEAMYMYZAF	CCCCCCCC/C=C\CCCCCCCC(=O)N	C18H35NO	281.2718647	"<P>Oleamide</P>, Oleamide, Spectral Match to 9-Octadecenamide, (Z)- from NIST14"	5283387	HMDB0002117	C19670	TRUE	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Fatty amides	Fatty amides	Aliphatic acyclic compounds	"Fatty amides (FA08), Fatty Acyls (FA)"	"APOL_AMP_1_C30_POS, APOL_AMP_3_C30_POS, APOL_C18_2_C30_POS, APOL_C18_3_C30_POS, POL_NA_NA_PHE_POS, POL_WAX_2_AMD_POS, POL_WAX_2_AMD_REPEAT_POS, POL_WAX_2_PHE_POS, POL_WAX_3_PHE_POS, POL_WCX_2_PHE_POS, POL_WCX_3_PHE_POS"	"APOLAR, POLAR"	"AMP, C18, WAX, WCX"	"AMP_1, AMP_3, C18_2, C18_3, NA_NA, WAX_2, WAX_3, WCX_2, WCX_3"	"AMD, C30, PHE"	"DIMSn, LCMSMS"	POSITIVE	1	0	0	1	1	1	1	0	1	B12	POL_WAX_3_PHE_POS	DIMSn
CHEBI:15354	C5H14NO+	C[N+](C)(C)CCO		Choline (DCF)	104.1070257			[M+H]+	464.795178												OEYIOHPDSNJKLS-UHFFFAOYSA-N	OEYIOHPDSNJKLS	C[N+](C)(C)CCO	C5H14NO+	104.1075391	"<P>Choline</P>, choline, Choline, Massbank:PR100405 Choline|2-Hydroxyethyl trimethylammonium|Bilineurine|2-Hydroxy-N,N,N-trimethylethanaminium|Bilineurin|Hepacholine|Lipotril"	305	HMDB0000097	"D07690, C00114"	TRUE	Organic compounds	Organic nitrogen compounds	Organonitrogen compounds	Quaternary ammonium salts	Cholines	Aliphatic acyclic compounds		"POL_NA_NA_AMD_POS, POL_NA_NA_PHE_POS, POL_WAX_1_AMD_POS, POL_WAX_1_NMR, POL_WAX_1_PHE_POS, POL_WAX_2_AMD_POS, POL_WAX_2_AMD_REPEAT_POS, POL_WAX_2_PHE_POS, POL_WAX_3_AMD_REPEAT_POS, POL_WCX_1_AMD_POS, POL_WCX_1_NMR, POL_WCX_1_PHE_POS, POL_WCX_2_AMD_POS, POL_WCX_2_PHE_POS, POL_WCX_3_PHE_POS, POL_WCX_4_AMD_POS, POL_WCX_4_AMD_REPEAT_POS, POL_WCX_4_NMR, POL_WCX_4_PHE_POS"	POLAR	"WAX, WCX"	"NA_NA, WAX_1, WAX_2, WAX_3, WCX_1, WCX_2, WCX_3, WCX_4"	"AMD, PHE"	"DIMSn, LCMSMS, NMR"	POSITIVE	1	0	1	1	0	1	1	1	1		POL_WCX_4_AMD_REPEAT_POS	LCMSMS
CHEBI:15365	C9H8O4	CC(=O)OC1=CC=CC=C1C(=O)O		Aspirdrops	181.0493558			[M+H]+	1387.42												BSYNRYMUTXBXSQ-UHFFFAOYSA-N	BSYNRYMUTXBXSQ	CC(=O)OC1=CC=CC=C1C(=O)O	C9H8O4	180.0422587	"aspirin, Massbank:EQ357801 Aspirin|Acetyl salicilic acid|2-acetyloxybenzoic acid, Massbank:EQ357803 Aspirin|Acetyl salicilic acid|2-acetyloxybenzoic acid, MoNA:1014580 O-(Acetyloxy)benzoate"	2244	HMDB0001879	"D00109, C01405"	TRUE	Organic compounds	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives	Acylsalicylic acids	Aromatic homomonocyclic compounds	Dicarboxylic acids (FA0117)	"POL_NA_NA_PHE_POS, POL_WAX_1_PHE_POS, POL_WAX_2_PHE_POS, POL_WAX_3_PHE_POS, POL_WAX_4_PHE_POS, POL_WCX_1_PHE_POS, POL_WCX_3_PHE_POS"	POLAR	"WAX, WCX"	"NA_NA, WAX_1, WAX_2, WAX_3, WAX_4, WCX_1, WCX_3"	PHE	LCMSMS	POSITIVE	1	0	0	1	1	0	0	1	1		POL_WAX_4_PHE_POS	LCMSMS
CHEBI:15383	C10H16	CC1=CC[C@H](CC1)C(=C)C		4-Isopropenyl-1-methyl-1-cyclohexene	137.1325267			[M+H]+	690.899												XMGQYMWWDOXHJM-SNVBAGLBSA-N	XMGQYMWWDOXHJM	CC1=CC[C@H](CC1)C(=C)C	C10H16	136.1252005	(-)-Limonene	439250	HMDB0003375	C00521	TRUE	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Monoterpenoids	Menthane monoterpenoids	Aliphatic homomonocyclic compounds	"C10 isoprenoids (monoterpenes) (PR0102), Menthane monoterpenoids (PR010209), Prenol Lipids (PR)"	"POL_NA_NA_PHE_POS, POL_WCX_1_PHE_POS"	POLAR	WCX	"NA_NA, WCX_1"	PHE	LCMSMS	POSITIVE	1	0	0	1	1	0	0	1	0		POL_NA_NA_PHE_POS	LCMSMS
CHEBI:15613	C6H14N2O2	C(C[C@@H](CC(=O)O)N)CN		L-beta-Lysine	169.0947116			[M+Na]+	972.10614												QKEWQOJCHPFEAF-YFKPBYRVSA-N	QKEWQOJCHPFEAF	C(C[C@@H](CC(=O)O)N)CN	C6H14N2O2	146.1055277	L-beta-lysine	439417	HMDB0012114	C01142	TRUE	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	"Amino acids, peptides, and analogues"	Beta amino acids and derivatives	Aliphatic acyclic compounds	"Fatty Acids and Conjugates (FA01), Amino fatty acids (FA0110), Fatty Acyls (FA)"	"POL_NA_NA_PHE_POS, POL_WAX_1_AMD_POS"	POLAR	WAX	"NA_NA, WAX_1"	"AMD, PHE"	LCMSMS	POSITIVE	1	0	0	0	1	1	0	0	0		POL_WAX_1_AMD_POS	LCMSMS
CHEBI:15698	C9H13N3O4	C1[C@@H]([C@H](O[C@H]1N2C=CC(=NC2=O)N)CO)O		1-(2-Deoxy-beta-D-ribofuranosyl)cytosine	228.0978802			[M+H]+	83.216												CKTSBUTUHBMZGZ-SHYZEUOFSA-N	CKTSBUTUHBMZGZ	C1[C@@H]([C@H](O[C@H]1N2C=CC(=NC2=O)N)CO)O	C9H13N3O4	227.0906059	"2'-deoxycytidine, 2_-deoxycytidine"	13711	HMDB0000014	C00881	TRUE	Organic compounds	"Nucleosides, nucleotides, and analogues"	Pyrimidine nucleosides	Pyrimidine 2'-deoxyribonucleosides	Pyrimidine 2'-deoxyribonucleosides	Aromatic heteromonocyclic compounds		"POL_NA_NA_AMD_NEG, POL_NA_NA_AMD_POS, POL_NA_NA_PHE_POS, POL_WAX_1_AMD_POS, POL_WAX_1_PHE_POS, POL_WCX_1_AMD_NEG"	POLAR	"WAX, WCX"	"NA_NA, WAX_1, WCX_1"	"AMD, PHE"	LCMSMS	"NEGATIVE, POSITIVE"	1	0	0	1	1	1	0	0	1		POL_WAX_1_PHE_POS	LCMSMS
CHEBI:15713	C9H15N2O15P3	C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O		Uridine 5'-Triphosphate	484.97542			[M+H]+	29.043												PGAVKCOVUIYSFO-XVFCMESISA-N	PGAVKCOVUIYSFO	C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O	C9H15N2O15P3	483.9685288	uridine 5'-triphosphate	6133	HMDB0000285	C00075	TRUE	Organic compounds	"Nucleosides, nucleotides, and analogues"	Pyrimidine nucleotides	Pyrimidine ribonucleotides	Pyrimidine ribonucleoside triphosphates	Aromatic heteromonocyclic compounds		POL_WCX_1_PHE_POS	POLAR	WCX	WCX_1	PHE	LCMSMS	POSITIVE	1	0	0	0	1	1	0	0	0		POL_WCX_1_PHE_POS	LCMSMS
"CHEBI:15727, CHEBI:57485"	C9H14N4O3	C1=C(NC=N1)C[C@@H](C(=O)[O-])NC(=O)CC[NH3+]		L-Carnosine	227.1139891			[M+H]+	0.7												CQOVPNPJLQNMDC-ZETCQYMHSA-N	CQOVPNPJLQNMDC	C1=C(NC=N1)C[C@@H](C(=O)[O-])NC(=O)CC[NH3+]	C9H14N4O3	226.1065903	"CARNOSINE, Ignotine, L-Carnosine, L-CARNOSINE - 20.0 eV, L-Carnosine - 30.0 eV, L-Carnosine - 40.0 eV, L-CARNOSINE - 40.0 eV, L-CARNOSINE - 70.0 eV"	"439224, 6992100"	HMDB0000033	C00386	TRUE	Organic compounds	Organic acids and derivatives	Peptidomimetics	Hybrid peptides	Hybrid peptides	Aromatic heteromonocyclic compounds		"POL_NA_NA_AMD_NEG, POL_NA_NA_AMD_POS, POL_NA_NA_PHE_NEG, POL_NA_NA_PHE_POS, POL_WAX_1_AMD_NEG, POL_WAX_1_AMD_POS, POL_WAX_1_PHE_NEG, POL_WAX_1_PHE_POS, POL_WAX_2_PHE_POS, POL_WCX_1_AMD_NEG, POL_WCX_1_AMD_POS, POL_WCX_1_PHE_NEG, POL_WCX_1_PHE_POS, POL_WCX_2_AMD_POS, POL_WCX_2_PHE_NEG, POL_WCX_2_PHE_POS, POL_WCX_3_AMD_POS, POL_WCX_3_PHE_NEG, POL_WCX_3_PHE_POS"	POLAR	"WAX, WCX"	"NA_NA, WAX_1, WAX_2, WCX_1, WCX_2, WCX_3"	"AMD, PHE"	"DIMSn, LCMSMS"	"NEGATIVE, POSITIVE"	1	0	0	1	1	1	0	1	1	A02	POL_WCX_2_PHE_POS	DIMSn
