peakID,mz,rt,maxMeanIntensity,RSD,bestScore,bestAdduct
1,102.453726645,1402.8189,66267.6947526,4.78187173661,10,
3959,315.009918958,957.39888,264637.251748,5.00729133686,1.0,[M-H]-
3,102.955514935,36.0335166,13410676.4469,7.18212581016,10,
4,103.038656927,42.372744,12446589.0947,9.11302799834,10,
5,103.053497134,148.87158,386376.820106,14.0685251436,10,
6,104.952565753,36.0335166,5815128.01927,7.99031531894,1.0,[M-H]-
7,104.952488533,956.76,85385.6358351,14.273565038,10,
8,105.918759702,55.0277898,243659.654889,8.41361453657,10,
9,105.955845509,35.8434132,28821.6749781,13.6190401302,10,
5717,359.078624535,527.757222,2747853.75526,4.14558217148,2.0,[M+Cl]-
11,107.048787831,90.05844,835292.343294,12.3104763542,10,
12,107.973641176,921.84756,102676.197104,14.7122321493,10,
13,108.017826444,126.647904,887852.570019,1.80034300435,10,
14,108.900692836,36.0335166,2004822.25705,7.52593813522,10,
15,108.98149238,921.882,132778.364758,14.1594209273,10,
16,109.965457678,880.66422,7778754.60903,14.0699465213,10,
2883,286.922684373,36.0335166,97555.1994016,8.31671590375,1.0,[M-H]-
18,110.924755135,34.1327418,1081718.02058,14.4148861936,10,
1168,229.022794125,39.2072418,2005902.59519,10.2254925175,1.0,[M-H]-
20,110.982821405,144.715398,90815.6871535,11.7309769709,10,
766,207.986451356,33.8716698,167912.21081,10.0367976721,1.0,[M-H]-
22,112.93589443,31.235109,300003.352143,14.9843232953,10,
1835,253.093157365,51.061788,11129480.5006,11.8445740801,1.0,[M+H3CCOOH]-
24,114.91914805,34.0875702,250207.888825,8.34702097865,10,
1099,225.099022606,40.1513748,748998661.955,8.84497922127,1.0,[M-H]-
26,116.016250187,57.4907907,31176.7244365,0.616005744692,10,
700,203.082050632,265.449234,1301369764.62,5.6541636622,1.0,[M-H]-
28,116.049191554,148.87158,1327305.1297,5.341847614,10,
29,116.971162641,870.74463,1480016.3442,0.727180661539,10,
30,117.033249872,148.914666,1172200.95224,9.68536122529,10,
426,180.065787551,67.339674,3108469485.62,7.18263654721,1.0,[M-H]-
2409,272.12550125,67.555914,2620986.88139,6.52596083157,2.0,[M+Cl]-
33,118.049654911,39.7525248,22973015.1619,7.3931955873,10,
284,164.070712299,148.87158,2749401855.85,7.52359043968,1.0,[M-H]-
35,118.929537563,36.7741536,2410580.14427,11.7114719704,10,
36,118.968371522,35.3380236,3355282.11447,11.1795187433,10,
676,201.066494232,117.261672,174212.546953,8.0091992446,1.0,[M-H]-
38,119.033697962,43.257153,11754367.2913,10.2302315243,10,
39,119.048860261,148.824936,4555706.7861,7.06975282803,10,
42,119.932824017,37.3019472,8393.847714,3.50763080446,10,
43,119.945792783,956.72658,254713.863426,8.48145145189,10,
45,120.926521107,36.481488,823984.34679,13.507294564,10,
46,120.953667832,34.6861476,475424.286591,12.4930437403,10,
47,121.055502735,67.760709,188145.38783,11.1004047546,10,
48,121.942758875,956.71611,83021.469036,2.86608755916,10,
49,122.023452289,64.828422,108993051.693,9.20193038834,10,
50,122.071100036,352.110612,618367.143178,4.64955458493,10,
51,122.071099671,42.9325272,2703282.44636,12.3315078217,1.0,[M-H]-
52,122.924737659,36.869733,42230.1320126,7.37353485363,10,
3031,291.0233431,957.7572,1802313.63277,5.35589555301,2.0,[M+Cl]-
55,123.031333028,121.06992,19451.6961968,6.50366858013,10,
300,167.070465467,448.999818,7487118.61758,3.81780096339,1.0,[M-H]-
58,123.981099565,1032.89013,246010.132688,5.32891697714,10,
59,124.006113066,39.4380216,1178799.58363,12.544248278,10,
60,124.030190932,64.192002,84644.5806719,13.1468694525,10,
62,124.890028942,1756.46178,67414.6599139,9.30471886981,10,
63,124.990202645,48.754776,551120.549687,6.38870428004,2.0,[M+Cl]-
65,125.882863909,1756.11942,14802.6421403,12.4027812362,10,
322,169.990868096,113.271066,2780003.26219,9.6527951869,1.0,[M-H]-
67,126.879807692,1756.46178,440885.895969,5.78679221193,10,
68,126.934671355,58.6507998,226745.869888,10.1324542677,10,
69,126.951724006,48.754776,86691.362974,7.98929969388,10,
70,127.050075058,39.7525248,4752631.27562,8.17370958612,10,
72,128.008982744,50.6088975,94342.5579209,3.78766604586,10,
73,128.034072335,41.013402,18868211.7948,10.2923414547,10,
74,128.106796831,192.118002,41266.1047996,4.89046886244,10,
75,128.891038257,34.0423986,4690717.87929,10.363370866,10,
76,128.899508402,34.6861476,361294.909857,7.89125620536,10,
361,172.985195646,38.807151,1221788.8514,7.57373076405,1.0,[M-H]-
78,129.018093113,68.5998,5075374.18192,6.81713372149,10,
79,129.065744558,46.6735221,332818.68392,11.1001285769,10,
80,129.1021462,49.2912582,6716265.13223,3.21571376881,10,
81,129.891825452,33.8716698,555540.558223,9.95229189398,10,
82,129.974659899,956.72658,475212.124388,8.3542198627,10,
83,129.974627995,38.807151,2064871.168,7.24995935112,10,
85,130.888171526,34.0423986,5331403.62417,5.88316180347,10,
86,131.036423211,175.212504,40572.5152946,8.59064913745,10,
89,131.081380866,39.4380216,102690095.741,7.32640745541,10,
90,131.888929407,33.9570342,583436.518411,11.0339198634,10,
91,131.943116296,901.70004,1506103.97032,3.83947032388,10,
163,146.044885602,33.4977348,69012306.7225,7.02112074759,1.0,[M-H]-
94,132.065462382,40.4662428,1297540.33711,11.1765505052,10,
97,132.885302636,34.0423986,2047052.50814,7.55877213037,10,
98,133.052023823,67.338378,1813304.58008,9.9188738994,10,
99,133.049480079,44.9257023,4924525.4913,7.83104489938,10,
100,133.979406988,35.3833206,55383.5586526,14.2917429325,10,
102,134.021188935,126.49332,827516.298266,3.54314172539,10,
103,134.026962386,45.8469048,2120637.41377,11.5040870574,10,
5606,356.104071491,527.925174,29346699.2203,5.47964027952,1.0,[M+H3CCOOH]-
105,134.04602262,134.565102,22761332.7508,0.495589051744,10,
107,134.920760442,957.5799,20731.9015285,11.9874831242,10,
