peakID,mz,rt,maxMeanIntensity,RSD,bestScore,bestAdduct
1,100.024570042,28.1810298,59586525.2409,1.7223472142,10,
2,100.112241901,83.65113,5539736.98387,4.2361504744,10,
3,100.510177447,1601.38533,10365539.8519,6.32765825382,10,
462,154.004583436,1602.00546,327738866.056,0.312539734026,1.0,[M+H]+
5,101.022939593,793.12551,42154.800838,5.78609497937,10,
766,175.13252932,839.2392,2716474.86001,7.8270201506,1.0,[M+H]+
1198,200.084774905,83.72592,296549.788132,9.46381164975,2.0,[M+K]+
97,116.00192255,28.407867,23013148.7743,2.96645582576,1.0,[M+H]+
10,101.984460442,1689.21099,351566.102715,0.338875951258,10,
12,102.034003896,1602.00546,3297499198.28,0.881283666299,10,
13,102.034028629,28.3820976,615314870.778,8.31980694396,10,
14,102.091447871,186.30759,67566768.4868,1.42631433858,1.0,[M+H]+
15,102.509129622,1603.5702,27209224.5714,7.95207586943,10,
331,142.589254564,28.0687206,9955289.8721,1.2370587859,1.0,[M+H]+
435,152.03221992,28.3820976,6765552.48289,1.21085506298,1.0,[M+NH4]+
22,103.037239206,1602.00546,10513885.9175,0.796119633749,10,
624,166.085812024,105.173022,14179988222.6,0.319162762574,1.0,[M+H]+
24,103.054227253,56.6691363,1398287.9576,9.89033398408,10,
25,103.050504145,28.1376972,4901825.2855,2.76652722221,10,
26,103.086809742,38.5758678,19237217.9677,5.45167760249,10,
29,103.131146764,51.760107,282862.210122,13.6109752578,10,
30,103.507560414,1603.5702,19004338.8942,6.23918486831,10,
31,103.548102579,28.2382311,1269196.02701,11.3399857313,10,
33,104.008652826,1668.7161,1205035.01465,13.8016642933,10,
34,104.030434021,28.3820976,15839087.7543,4.70463337052,10,
35,104.030353461,1602.00546,77187648.4449,1.2701990851,1.0,[M+NH4]+
2014,234.009903393,51.1533732,4161651.00178,4.04704988524,2.0,[M+K]+
3104,266.158770258,37.9273536,1195405.52255,2.58391887838,1.0,[M+H]+
39,105.003423635,28.3820976,6012279.06094,7.21775042869,10,
40,105.104131178,38.2618698,2330772.29421,3.74312857643,10,
42,106.037450359,28.0814847,643806.301887,0.194422482568,10,
43,106.111247122,38.2618698,1519723.73616,3.27739979231,10,
44,106.950612543,34.4398698,2409672.98132,0.867644502968,10,
2068,236.022345386,145.78653,4618329.91771,1.53514181406,2.0,[M+K]+
48,108.570860627,29.322228,1122799.14028,11.355609491,10,
49,109.022562115,1613.67768,211009714.73,10.2099068917,10,
50,109.521696538,1602.00546,143129659.324,2.87510323459,10,
51,109.578695895,29.0343648,3268137.28293,4.83170412016,10,
52,109.978713127,28.1810298,2743103.24623,1.73819848202,10,
54,110.008715657,28.3820976,136434487.205,4.61991924577,10,
55,110.034917792,87.14076,4153482.6714,7.45548590231,10,
56,110.034903368,69.352128,3664781.48223,8.87670329023,10,
57,110.071322348,29.6915679,9713012.85673,0.680176239946,10,
58,110.521513084,1613.36184,253160741.576,5.21537003248,10,
59,111.009535887,28.3820976,16299977.956,4.28131796322,10,
60,111.020303521,1601.07006,1683631471.75,1.98807674495,10,
61,111.012076524,28.2943848,3794708.9299,5.55166822069,10,
62,111.039203675,28.407867,74249550.4489,6.0760073058,10,
63,111.039010665,1602.00546,123683491.147,1.82398923871,10,
64,111.091695883,88.40364,6052146.14421,0.342947474191,10,
68,111.968314157,1614.10389,23250239.8754,8.73328446586,10,
69,112.006250614,28.407867,18611993.8458,5.32105625166,10,
71,112.039355141,21.8476962,467529.144472,6.65657711008,10,
72,112.050559003,40.7741148,32481116.8242,1.52478025049,10,
763,175.118566446,36.9842298,707342368.749,0.680337820697,1.0,[M+H]+
74,112.095011356,88.40364,314658.875404,6.15587763364,10,
75,112.895730411,36.456159,8389230.60431,2.78416987481,10,
315,140.995233559,1601.07006,18907335.2772,1.3808237614,1.0,[M+H]+
384,147.030292454,28.5949389,4121616.94005,11.7083625638,1.0,[M+NH4]+
78,112.978335907,1602.00546,43584890.1237,3.74469256871,10,
79,113.016677425,1601.07006,92184624.1444,1.62716603076,10,
80,113.035586516,28.407867,1820999.3846,5.53245065813,10,
81,113.034550912,59.0233935,6499106.74488,2.07825990795,10,
84,114.017012482,1603.41867,170323419.08,0.0550378684145,10,
85,114.060602356,29.4339138,77503405.3573,4.53855086044,10,
86,114.07336116,311.745771,3268699.13403,13.9495821696,10,
88,114.558316966,1601.07006,46823962.0513,6.29795878657,10,
1543,216.922268421,36.037602,10862520.8205,4.01883676357,2.0,[M+Na]+
445,152.994677218,1613.78808,174041319.797,0.51438734918,2.0,[2M+H]+
92,115.011458154,28.3820976,6607566.0966,4.16676966599,10,
93,115.015517802,1603.5702,87869680.7993,1.88964494498,1.0,[M+NH4]+
94,115.054173902,213.616734,29009607.7936,1.32916098976,10,
3484,276.658509005,1602.31722,5168180.79367,4.94115546806,1.0,[M+NH4]+
96,115.963993734,1601.22927,21428092.7283,7.58027824339,10,
98,116.001958461,1602.00546,5000499.41444,3.0888202466,10,
99,116.012214477,28.1810298,641302.041789,6.32398282056,10,
101,116.025461496,145.519572,300598.324019,10.7454274863,10,
102,116.070626432,39.8323668,242756628.901,1.34534566041,10,
103,116.107014039,41.5977639,9253242.77719,4.22937508323,10,
105,117.057186474,56.486007,6783907.96911,3.98600416073,10,
106,117.057194444,213.616734,48799198.121,1.48459330245,10,
107,117.057437424,105.173022,5670474.32982,1.77576818052,10,
108,117.078462672,28.0943646,1401730.52807,14.8301231657,10,
109,117.102201887,38.8897428,12205976.6788,2.34242077913,10,
110,117.138632997,1599.02601,250829.841789,1.51824690148,10,
111,117.576063506,29.322228,7233236.25643,0.584948403965,1.0,[M+NH4]+
637,167.012412131,1602.00546,1100817934.21,2.59628278615,1.0,[M+NH4]+
113,118.034911524,28.3820976,15945172.304,3.69912727543,10,
862,182.080661717,56.7984996,6398323794.89,2.72682604396,1.0,[M+H]+
1301,205.096537322,213.616734,4863826655.16,0.982193576047,1.0,[M+H]+
116,118.065174389,104.860902,138299972.502,1.27526785625,10,
117,118.086152453,42.007227,2058852485.68,1.88768958459,10,
118,118.983914371,28.3820976,6747384.52998,6.18465736495,10,
119,119.015927466,42.007227,3197363.29552,4.37234911081,10,
120,119.015391474,1234.43112,44551.6617794,6.24902969725,10,
388,147.071131588,28.0687206,2733631.74589,0.557164631025,1.0,[M+H]+
253,136.061435298,250.54761,53731298.8258,1.15423836319,1.0,[M+NH4]+
123,119.035136792,69.352128,12989124.4941,5.97555567599,10,
127,119.083233608,41.7146196,7378706.87408,3.92937147505,10,
128,119.089427348,41.693604,112471578.797,1.08760848216,10,
129,120.003148193,35.0557218,2374929.2645,2.22142476115,10,
130,120.03248065,28.3820976,2987874.30896,3.83732509195,10,
133,120.06542037,38.3015739,16107505.5975,1.1837995167,10,
135,120.080670632,363.608751,33277647.3521,1.67401676763,10,
138,122.026878575,683.87226,41580.3442327,7.06557695742,10,
140,122.071183781,1598.54196,291427.81539,4.15655223368,1.0,[M+H]+
142,122.547022697,1602.31722,1248480206.46,6.70987669747,10,
143,122.92443043,35.41587,8006477.20201,2.99598325508,2.0,[M+K]+
144,122.955531856,270.447252,160440.901776,1.46543143912,10,
146,123.040287214,28.3820976,660590329.036,1.22614964303,10,
147,123.055079777,53.6699988,117739161.185,2.81794242781,10,
148,123.544981415,1602.31722,8566642.94255,6.96094936386,1.0,[M+NH4]+
149,123.954612727,1603.73352,3082043.06553,3.99951398855,10,
151,124.043654132,1736.511,1404769.08075,10.3192566605,10,
152,124.043534049,1624.29771,1976211.31085,0.762275663436,10,
154,124.086813884,1589.6736,1070384547.59,10.4633797893,10,
155,124.086808262,37.6337508,9578303.93308,6.10971738843,10,
156,124.543415409,1602.31722,29471882.1701,6.01339348302,10,
159,124.999190222,37.6631283,1230880.20196,8.11394933484,10,
164,125.042419413,51.1533732,47183652.5512,0.271304703174,1.0,[M+NH4]+
2901,261.071310011,145.78653,923185.546807,6.48291573902,1.0,[M+H]+
835,181.014020794,1601.07006,506294199.464,1.20197759448,2.0,[M+K]+
163,125.044253045,28.3820976,4989743.5319,4.42741553865,10,
166,125.070863272,1765.64499,368626.839132,12.826814806,10,
167,125.070868772,1662.37659,953174.190415,8.69437917517,10,
169,125.107154162,158.755326,24226519.7113,0.208468439956,10,
170,125.115269404,376.2651,221890.719961,3.21988747609,10,
171,125.964009853,21.733026,1640217.42394,10.2536846073,10,
172,125.985997719,1602.00546,172419507.136,1.68949381304,2.0,[M+Na]+
173,125.986102307,28.3820976,606953112.781,2.13921637253,10,
2899,261.072627351,460.69038,353009.498308,4.65201911864,1.0,[M+NH4]+
175,126.021704769,38.5758678,601740.345023,7.63323535323,10,
176,126.110529236,127.784712,72853.5720507,10.0410270016,10,
177,126.97183177,21.9374748,2003579.86456,7.92462000011,1.0,[M+H]+
1480,214.002990956,1614.78495,122568677.967,8.21995300821,1.0,[M+H]+
179,127.002497482,28.3820976,1474676.13408,7.73845689882,10,
180,127.084099898,32.836617,539938.924026,13.5225645276,10,
181,127.982166691,28.407867,3986961.49693,4.58440089104,10,
182,127.988821714,28.407867,3628435.70806,8.54321471972,10,
183,128.019111326,28.3820976,274872233.315,0.580884022376,10,
184,128.053385891,115.3461,264157.911249,0.187502094635,10,
185,128.11804878,37.9480008,540529.419165,3.827518574,10,
186,128.143207847,374.617026,6797356.41786,1.85809408017,10,
5206,319.110263754,330.673134,627193.359954,10.0958961259,1.0,[M+NH4]+
188,128.549982145,146.106654,867100.166067,8.97004467899,10,
189,128.950531247,1615.84173,96338606.8739,3.65594011732,10,
191,129.102012762,43.2851208,57718277.1299,5.25559585165,10,
192,129.146558168,374.801502,527115.801859,4.42348353983,10,
10216,465.368141817,28.72149,3469521.97345,4.76343413578,2.0,[M+K]+
194,129.57587986,29.34774,7533709.42211,4.55095174222,10,
195,129.97893179,28.3820976,14015264.2987,4.00542786881,10,
196,129.978894985,1766.03226,857666.697897,14.3182016173,10,
