peakID,mz,rt,maxMeanIntensity,RSD,bestScore,bestAdduct
1,100.944776825,42.8319642,9872206.62311,3.32223354195,10,
131,158.977885838,34.9967382,27930520.7385,13.8043825869,1.0,[M-H]-
3,103.038759723,40.8831996,19900113.5991,3.06465584588,10,
157,164.070680735,138.286248,2123122534.0,2.48956763899,1.0,[M-H]-
5,104.034019112,36.1216122,4883658.4831,3.84352109991,10,
7,110.897788368,35.077602,3102206.44427,2.39775598759,10,
8,110.924774263,32.8280052,815646.891659,7.31622678217,10,
1227,269.91562727,32.826021,3272219.63555,5.79659747079,1.0,[M+H3CCOOH]-
10,112.935904425,30.0896142,236439.942349,9.92741618474,10,
11,112.984353417,42.8477007,159935550.467,61.0240325596,10,
12,113.922625641,32.670795,53903.5814106,7.75860034626,10,
13,113.987732053,36.688191,6010744.56916,4.03903166254,2.0,[M+Cl]-
577,225.099337339,39.0161556,380353935.436,4.01829983784,1.0,[M-H]-
376,203.082000834,245.959104,951353333.987,2.10884111655,1.0,[M-H]-
16,116.07042569,45.4015926,316212050.79,2.37336337237,10,
17,116.905774907,126.962646,701413.011321,7.76644155214,10,
18,116.981614911,30.1487028,147629.108776,5.48129010823,1.0,[M-H]-
1240,271.057721341,67.30335,523757.252953,14.5921687008,2.0,[M+Cl]-
21,118.049775583,38.0556528,16806081.2003,9.02290509245,10,
22,118.929625221,35.8781328,9037443.51623,4.29604496998,10,
23,119.035176891,110.660436,391208.535092,12.9215708912,2.0,[M+Cl]-
24,119.048925448,138.262554,1982517.03642,13.2596786169,10,
235,180.065768471,64.114254,2503112125.87,2.86255663266,1.0,[M-H]-
27,120.926596428,35.8781328,3115121.68815,2.38402607273,10,
28,120.953713364,33.690474,704652.482835,0.92424012793,10,
895,249.025562154,131.662434,149350.161104,6.00892816747,2.0,[M+Cl]-
30,122.023445062,61.433862,36203117.0343,2.62788753131,10,
172,167.070431774,423.270942,6396856.51374,4.43018066472,1.0,[M-H]-
32,124.990196156,46.476162,2111722.10159,2.74385704051,10,
33,126.934644922,55.0526382,545202.076063,3.00861921385,10,
34,128.891061208,32.722473,19518523.9114,13.1585214115,10,
35,128.940613814,30.0896142,152718.592348,9.73042113902,10,
36,128.95850595,37.176765,57506533.5588,2.86735896539,10,
2479,341.90443939,32.722473,722757.617282,2.55521502979,2.0,[M+Cl]-
38,129.974714651,37.6543302,5475003.82892,2.60533380048,10,
40,130.086068046,67.735164,3121436624.03,2.14145592171,1.0,[M-H]-
2029,315.006970909,33.0422298,8259889.30019,6.39154870785,1.0,[M+H3CCOOH]-
43,131.04519546,36.9734952,9226732.31973,1.87801178813,10,
44,131.081515801,38.2543704,83183401.7659,14.2232880839,10,
