peakID,mz,rt,maxMeanIntensity,RSD,bestScore,bestAdduct
1,100.91743359,47.535879,131697.246124,6.39409629287,10,
2,102.091745409,318.063222,114654020.664,6.05078751837,1.0,[M+NH4]+
217,166.086172821,186.8799,3848194870.74,1.79472602922,1.0,[M+H]+
521,211.141557123,54.8591418,1302055.15818,9.33258467151,1.0,[M+NH4]+
133,150.058227466,76.958868,384032816.738,2.00542577641,1.0,[M+H]+
7,104.071054383,74.395242,6153060.01252,14.9583263034,10,
8,104.107297596,85.880112,190535773.378,5.64749831416,10,
9,104.10736506,60.18159,1525597692.62,7.14616984187,10,
11,108.990551647,43.745607,343406.575244,9.75828673409,10,
12,109.101449517,899.61351,16846330.4059,6.36639658119,10,
13,110.071615433,54.9562278,10382677.2724,13.8445891296,1.0,[M+H]+
489,207.050843539,48.1662018,33744811.8702,4.10726623078,2.0,[M+K]+
820,244.092579088,82.25199,67557200.2108,1.27351561746,1.0,[M+H]+
16,112.087205245,62.083836,51184242.3841,4.16527887081,2.0,[M+Na]+
17,112.896118892,48.1662018,41425226.7685,2.65929957434,10,
839,245.07656082,103.020606,92535268.8711,2.0406906216,1.0,[M+H]+
19,114.89310422,48.1662018,12872193.9536,7.22225744926,10,
20,115.024326241,43.616124,6910584.83681,14.6338575282,10,
21,115.036863897,55.1143512,46395595.242,2.34046880848,10,
22,116.001367259,983.7648,37650852.5259,4.59383997624,10,
126,149.01208851,79.531488,41662890.5451,14.2306682169,1.0,[M+H]+
24,117.057374928,316.261281,4786116.05502,7.61302660195,10,
25,117.102485447,61.449096,92157913.2757,1.82561747787,10,
473,205.097033848,316.442844,1037266170.35,9.66609205634,1.0,[M+H]+
311,182.080998055,86.043714,1959168076.02,0.317107182927,1.0,[M+H]+
29,119.019050995,97.837134,11595357.3935,8.19070140782,10,
30,119.035369728,157.623306,4422030.68383,10.2949503136,10,
32,119.073142208,186.892806,4250812.8412,12.2224011641,10,
33,120.003510997,48.485826,7423900.43754,4.47043947984,10,
34,120.032751037,43.5946188,323320.54535,13.8212858303,10,
35,120.052644627,86.043714,4210157.51369,7.58816062021,10,
36,120.065743224,52.6546482,7380581.38907,7.87194911341,10,
38,120.956765636,39.6747642,316181.058054,8.6144689089,10,
39,121.064925591,150.38517,66391497.5336,1.82007527139,10,
40,121.101282946,1001.29506,27658399.3562,4.33042188618,10,
41,121.988831813,1709.48004,806679.063767,14.1503613631,10,
42,122.071389851,252.622944,18889668.2783,11.0184621913,10,
45,122.924756853,49.7574738,21926513.6066,12.2360081994,10,
46,123.006053987,43.745607,374388.32832,5.95638347268,10,
48,123.055374782,189.750654,1279775687.91,1.955631099,1.0,[M+H]+
49,124.039399993,80.493354,25845508.1352,1.54586018136,10,
51,124.967905868,43.6376292,131771.078399,9.90008993011,10,
52,125.04274506,80.655726,1499316.49011,1.89531853115,10,
1374,280.994765745,43.745607,446497.536721,7.16137061634,1.0,[M+H]+
56,128.998141415,43.962375,206186.201981,5.09372436754,10,
