peakID,mz,rt,maxMeanIntensity,RSD,bestScore,bestAdduct
1,103.002288198,135.059346,553670.004871,9.56922336343,2.0,[M+Cl]-
2,106.04109115,179.101113,900063.96,2.67877785361,10,
3,107.034939696,101.484012,146088.785189,14.0567327964,10,
4,107.04887857,179.243079,4727459.00058,5.1329629984,10,
852,275.103838765,270.066897,19795413.8755,11.9057455624,2.0,[M+Cl]-
7,110.956552593,75.12243,4332508.45526,11.0761802774,10,
8,110.974341039,75.508701,15433331.9251,8.0787285374,10,
9,111.018694611,110.582592,94573467.2601,3.49029700983,1.0,[M-H]-
10,111.055047183,198.757014,931405.791635,8.20071819285,10,
11,112.984186426,65.442063,59974068.635,1.36386237133,10,
231,187.133313704,95.174274,40100355.0905,12.1930755635,1.0,[M-H]-
13,114.029626559,210.9915,470135.256808,6.84236820952,10,
14,114.062868981,94.94433,259563.16548,10.6272332878,10,
1002,291.118428164,96.186633,1729047.58249,7.09004426605,1.0,[M-H]-
16,116.049228333,92.736198,336985.920542,10.262358359,10,
18,117.927426756,1.73473686,500193.938605,11.8371634796,10,
19,117.995489908,94.603686,97178.470097,5.60219864414,10,
20,118.691787597,389.029275,209667.032768,4.76276946486,10,
399,218.012202649,309.61779,5297197.57423,13.256534459,2.0,[M+Cl]-
22,122.031508358,107.123208,40149542.4672,0.732643204077,2.0,[M+Cl]-
24,123.080290146,92.494269,5001896.52266,6.25965200983,10,
25,123.948101151,214.359435,1204476.32611,11.2341597877,10,
26,124.006202377,552.88947,207796.394329,8.65664911573,10,
27,124.035682242,107.146278,92864.8858017,11.2053725968,10,
563,242.062127354,70.987077,67922354.947,6.40846618753,1.0,[M-H]-
29,125.034483214,99.705573,6709646.3483,4.10018219169,10,
30,125.070835393,124.74858,282159.718253,10.1543785666,10,
68,140.974899197,228.155853,26934385.6634,11.0439080682,1.0,[M-H]-
32,126.000692754,143.721606,5755404.70719,5.11082979198,10,
33,126.934671341,82.957416,1049574.64195,1.73338982585,10,
34,127.004008919,143.884293,237224.964163,7.86157037556,10,
35,127.038867596,111.64596,11902622.8056,5.6451948375,10,
831,271.166674165,124.757454,1861566.72759,3.18798535292,1.0,[M-H]-
38,128.008945458,159.763671,777684.299967,5.29031595354,10,
39,128.016302582,142.748163,1403581.54888,9.39574404453,10,
40,128.931664649,82.920507,668398.12091,7.2818140725,10,
41,129.054501893,89.981271,126123465.155,1.82293767074,10,
42,129.065769248,115.58064,12429351.1187,3.86398155997,10,
43,129.09087097,92.178705,267416894.208,2.43425743821,10,
974,288.077903693,132.270849,229904.226596,11.6116467045,1.0,[M-H]-
48,134.036187365,93.827718,1749421.09745,4.83810046908,10,
49,134.045995663,149.988336,80804520.1157,2.57446048999,10,
