peakID,mz,rt,maxMeanIntensity,RSD,bestScore,bestAdduct
1,100.112437075,384.65028,11617004.7858,7.41878021542,10,
2,102.055314046,104.916543,3990223.99954,4.65104113917,10,
171,161.091969592,101.671659,10662737.5033,3.0062940118,2.0,[2M+H]+
34,121.06497319,369.097086,29532938.9007,14.1776871441,1.0,[M+H]+
5,103.06169665,304.533972,142981.176943,12.027320485,10,
6,103.08697689,116.351916,3682070.77985,6.63287399663,10,
7,103.07553423,1682.1978,93928.2943013,13.1359159838,10,
551,226.179991846,67.694796,91133880.9725,2.06730894221,1.0,[M+H]+
133,150.058232836,162.491439,79287158.3878,8.05899768448,1.0,[M+H]+
10,111.055578067,96.197556,10564017.7042,14.9421638692,10,
11,111.091896854,169.279875,37269742.0513,5.49971126962,10,
12,111.091987183,226.684023,10266028.6872,9.48501170842,10,
14,112.061941833,127.023288,56151.9936338,8.26294834527,10,
15,112.087196907,370.550526,3268940.60443,9.08629480694,10,
16,112.086567759,289.861098,99376.6556678,11.3528235261,10,
17,112.095332077,111.668541,172720.04691,4.65290799938,10,
18,113.071188899,116.190288,5986718.05314,1.2189088958,10,
20,114.127958724,409.48215,4447528.31832,1.76835597223,10,
21,115.086831367,201.840573,38350189.5528,13.4453797768,10,
22,116.107248186,471.752043,30596104.4769,11.2259420577,10,
23,117.048314336,423.838794,29580.3949245,11.2438854981,10,
24,117.054811126,121.84791,186317.515546,5.54316876504,10,
25,118.061281883,143.06874,492707.338634,12.5714519597,10,
171,161.091969592,101.671659,10662737.5033,3.0062940118,1.0,[M+H]+
27,119.192027443,387.441279,104655.143412,12.9221575677,10,
28,120.011327674,96.694038,433844.158073,5.25955540381,10,
194,166.086286637,488.314629,225396241.186,10.744419535,1.0,[M+H]+
30,120.202098037,379.353876,29246.346631,13.230879704,10,
31,120.966390136,694.37307,33095375.301,1.95014712103,10,
32,121.039762629,155.185368,3337972.45315,14.0532563389,2.0,[M+K]+
44,124.075822222,96.694278,7570893.95328,7.60279380758,10,
37,122.071431751,951.48174,32236753.7565,4.01984835078,1.0,[M+H]+
38,122.104694202,204.426432,200717.029894,10.9335258753,10,
39,122.534774083,378.01188,36590.1536812,8.81783343928,10,
40,122.955962897,96.644658,331996.890444,9.78227943483,10,
41,123.055442552,98.77548,245753226.07,2.22089574108,10,
43,124.052478057,98.77548,1737976.30951,3.73709460484,10,
46,125.096185441,68.86014,11518749.3419,1.10326436278,10,
597,231.170255982,95.700033,43146514.7375,6.80868745812,2.0,[M+Na]+
48,126.110763991,103.053159,7853635.85876,1.16514559759,10,
49,126.527156724,454.849032,107774.688478,13.2433232115,10,
50,126.785478695,453.411348,397628.792205,3.48636646075,10,
51,126.917221073,453.360903,132421.754097,7.88692382071,10,
439,209.201128629,187.77765,11248828.2343,0.606007050358,2.0,[2M+H]+
53,127.086640107,102.145482,45652129.5474,1.46564931044,10,
54,128.027859469,109.758408,112041.985617,2.79641367285,10,
55,128.070685745,97.600155,5669052.06522,10.3912952441,10,
56,128.076062996,188.750358,216714.534568,10.5878365988,10,
59,129.102362694,488.218278,91693253.813,1.97575086611,10,
60,129.335625639,443.61465,22850.4625879,13.7973454553,10,
61,129.705990526,454.038663,559437.39655,8.66406320998,10,
62,130.065206507,94.747416,23374040.3344,4.79329992732,10,
63,130.086382322,236.363646,39370242.7918,11.839441927,10,
64,130.099523914,488.218278,617546.405016,3.91456476934,10,
113,144.174629001,222.181722,248176245.999,4.87759915676,1.0,[M+H]+
