peakID,mz,rt,maxMeanIntensity,RSD,bestScore,bestAdduct
379,228.081284279,681.16614,27979098.6156,11.2441339407,2.0,[M+Cl]-
259,202.011892448,737.148,62483187.0941,10.9171932347,1.0,[M-H]-
3,108.011166726,686.87994,5603487.80372,11.637270198,10,
4,109.050671638,53.0569731,481611.845658,0.513456860323,10,
5,112.953760307,44.0275305,892562.70792,50.7682177908,10,
6,114.054820624,645.46914,553283863.076,9.59731362995,2.0,[M-2H]2-
202,187.041337518,458.63208,9703964800.53,5.6847577494,1.0,[M-H]-
8,115.075208472,86.490642,17616422.165,1.28534048281,10,
122,159.076629694,691.67592,434580675.181,5.16872190521,1.0,[M-H]-
10,116.049296461,436.321176,28901196.142,0.830018068347,10,
11,116.070457607,573.137082,4067529825.22,7.81660195788,1.0,[M-H]-
12,116.059134728,645.98196,1875618.2551,1.78595750094,10,
13,118.04974063,693.27906,747539419.706,6.45321576773,10,
14,118.940821029,780.4566,8415527.43692,2.18283096317,10,
16,122.023534336,296.527548,285540727.734,4.42426462016,10,
17,123.948126192,268.23855,2683350.72397,8.1422417746,10,
18,124.006194488,571.232214,74575058.8712,0.998561805481,10,
19,124.9901587,77.065836,142731976.866,13.6244272763,10,
20,125.09597117,547.338288,2707726.18895,5.35191987641,10,
21,125.899086517,337.090926,1908124.04793,0.803599337738,10,
22,127.050141111,728.6376,65838900.1706,3.7398129489,10,
23,127.086522994,680.82384,2524830.99309,11.7335817857,10,
115,157.035909156,198.530076,61819940.4486,12.0679860708,1.0,[M-H]-
25,129.891820439,276.737166,3857519.1559,3.59709814059,10,
26,129.993306348,456.810438,3829596.26488,4.01185197837,10,
27,130.057960362,84.922074,3876516.2508,12.7066458009,10,
28,130.086197705,500.841036,6311032449.38,4.76967508946,10,
29,130.888087383,277.384674,32988690.1336,5.84420710951,10,
30,131.04517432,829.851,226750975.033,1.91826458882,1.0,[M-H]-
31,131.04511586,855.49074,70205588.1403,4.31578398024,10,
162,173.103633565,1274.10438,8323239574.66,8.65310140074,1.0,[M-H]-
34,131.089439898,483.261966,470213383.942,8.48865012445,10,
35,131.888933615,200.074689,10753473.4302,7.14014499615,10,
36,131.990380987,457.126623,2436223.09303,1.13942891489,10,
37,132.040216434,663.02094,1287624.03351,9.09586773388,10,
38,132.065569844,825.39714,31479267.7288,5.97261809154,10,
39,132.885259818,278.326932,13317417.8334,5.65654171287,10,
40,133.068976791,826.31277,1720639.74498,7.51199796726,10,
41,133.990705866,924.07875,1587713.51415,44.1458783728,10,
42,133.990696983,1603.81155,2308655.06925,7.09538373107,10,
43,133.990717561,1721.10879,3716695.35528,9.5057890211,10,
44,133.990673211,1590.16284,1612465.14155,11.5351786713,10,
45,133.990694675,1702.8966,2460052.60294,2.05149851648,10,
46,133.990695985,1618.04604,1894562.4452,0.781919739952,10,
47,133.990737829,1748.82741,3383037.10835,0.305192647941,10,
48,133.990663258,1677.5094,1034619.10664,4.59894182032,10,
49,133.99065816,990.12813,1540380.67877,10.5192299301,10,
50,133.990571306,1355.20041,6748079.78589,4.50307805493,10,
51,133.990642344,1400.10396,1997716.77921,6.31839302894,10,
52,133.990691493,1512.19581,3201823.6812,3.92466574081,10,
53,133.990693338,1838.23584,3548139.98683,11.0259797098,10,
54,133.990642525,1981.62573,4448972.51181,2.62977210967,10,
55,133.990693374,1925.84406,2232769.18265,14.4223382415,10,
56,133.990685604,1637.0232,928294.757791,0.347545519715,10,
57,134.046164527,85.863942,31010789.0099,10.6486557656,10,
58,134.893628559,1751.3427,89624169.7985,4.22302001046,10,
59,134.893640905,1735.87584,85262467.3303,10.3000812622,10,
60,134.893601091,1686.9969,16287148.8072,1.67928091005,10,
61,134.893644845,1793.08644,187267794.676,0.795768386919,10,
62,135.028834412,680.20386,133225755.982,2.33084202373,10,
604,267.073989243,279.269166,9222521806.16,2.89519837603,1.0,[M-H]-
64,135.028828597,627.21114,244619649.193,9.2406893399,10,
65,136.87650875,107.014152,6110343.66772,7.51635048113,10,
66,136.890672363,1766.66379,26770892.4823,10.5244237846,10,
67,136.990407644,107.972526,22614405.3568,11.4127172951,10,
68,137.023281034,78.000582,29949448.3824,7.61911724138,10,
69,137.985634859,50.1505374,764832.615104,7.00819964963,10,
70,139.983468746,288.387936,57603637.9434,4.11507327885,10,
250,200.053682673,821.05998,12563675.8553,11.0211155041,1.0,[M+H3CCOOH]-
72,140.871528897,106.167147,1274465.99746,4.21391160539,10,
73,140.974799828,268.23855,76542737.2909,3.19562498789,10,
228,193.978777484,213.370698,44569338.4082,6.61130354124,2.0,[M+Cl]-
75,141.015852628,743.66724,7987048047.0,14.5812726588,10,
76,141.015920935,1654.8876,187531591.42,2.19618555731,10,
77,141.015934025,955.26969,751811367.694,0.851748237955,10,
627,269.081740826,592.692942,2376543.41279,9.518084276,2.0,[M+Cl]-
80,142.971873275,268.197762,75804035.6293,2.95795616503,10,
82,143.106755496,48.8610366,6768636.50286,4.72567785564,10,
83,143.11789721,494.027094,36422226.2494,5.43091424669,10,
84,144.868674185,278.326932,113463063.9,1.53310663095,10,
85,144.868760263,1750.78815,9940401.63157,11.9223674889,10,
240,197.972892441,212.680398,26999473.7497,2.07219218379,2.0,[M+Cl]-
1041,323.1132721,683.36508,2210559.458,9.78600525317,1.0,[M+H3CCOOH]-
456,243.039006835,727.3761,322117731.017,8.74738112122,1.0,[M-H]-
89,145.097240251,1389.70281,1131025894.32,5.68852255592,10,
91,146.044887826,570.598338,67643525.8941,13.6059765704,1.0,[M-H]-
92,146.044804993,744.3831,341612528.367,14.4869005731,10,
332,218.103153255,478.851198,3644521977.99,3.00724463967,1.0,[M-H]-
94,146.100528529,1345.2984,46703313.6651,3.79969502445,10,
95,146.865830591,202.321152,629555510.861,4.56885763039,1.0,[M-H]-
96,146.865720521,278.326932,117058485.644,0.964341121163,10,
97,146.965025848,1711.68375,24245605.1563,12.9856597275,10,
98,146.965024248,848.6139,16554221.84,5.66038885126,10,
100,148.862792166,278.326932,39433330.573,4.01016333452,10,
826,293.176655685,83.97942,146894311.3,6.78523284836,1.0,[M-H]-
102,149.132625763,83.97942,1370793.40666,12.2813770218,10,
355,223.065201155,79.900416,9731663.97624,7.94113471544,1.0,[M-H]-
104,151.025087804,528.317988,21607048.9367,8.41784993927,10,
607,267.073896555,482.002344,252578792.966,1.36746727783,1.0,[M-H]-
106,151.042450395,82.55205,745595.822331,6.77108975477,10,
108,152.994927394,639.90834,4889317.72063,11.2779651306,10,
109,152.994721742,785.37852,5449488.07161,5.66548358958,10,
110,152.985433863,675.0555,13541574.9051,13.5922640519,10,
111,154.061329435,1272.54282,1102244366.78,9.93317756059,10,
112,154.848480315,106.327269,1797576.86016,14.1994907995,10,
113,154.946486591,682.72566,120071888.24,3.64750237098,10,
114,155.000730676,1397.81262,564461235.747,0.0058220893024,10,
256,201.124055374,549.862782,1159706415.28,7.83250495687,1.0,[M-H]-
118,157.993283458,815.59734,35020424.1516,5.84308327088,10,
594,265.086915672,677.60742,3641449.28541,14.1103621098,2.0,[M+Cl]-
123,159.101825998,85.863942,15704460.5684,10.2853047364,10,
124,160.024187684,483.807597,1338159.58482,8.76725531294,10,
126,161.055879635,692.31666,43334480.8524,4.48117093905,10,
127,161.096361884,84.29355,814346.58455,13.872965062,10,
128,161.972092612,694.2729,3976957.50246,0.522999408953,10,
129,162.022244402,85.377804,439848.640495,14.4008920042,10,
130,162.041380881,201.361644,129926877.095,14.7617499375,10,
131,162.939056383,82.406754,14939842.3222,3.16581646559,10,
132,163.075688256,84.922074,4915924.38995,14.3437408285,10,
133,164.042515035,83.350722,229187.080575,10.9032319367,10,
1010,318.100668564,447.256308,18331617.3061,7.62217655509,2.0,[M+Cl]-
135,165.018544948,933.0204,159287968.263,11.8601052746,10,
136,165.018528823,1250.3724,225668435.606,0.806317980562,10,
137,165.039615816,680.4903,93026023.7359,12.7198745177,10,
138,165.042975372,114.938226,5084167.19207,10.0539964448,10,
140,166.086628347,85.549692,4269931.24834,9.99600804323,10,
141,167.020220335,597.792384,11814331.0253,8.36399987236,10,
142,168.913439691,195.985698,38919199.0673,13.086156811,10,
143,168.980471135,612.88368,5886099.39491,5.19638910417,10,
144,169.105498751,85.692114,316328.736984,5.82896472808,10,
145,170.04273623,681.76746,114696282.967,10.7933911242,10,
146,170.042640616,747.99567,43453282.1101,14.5895407195,10,
147,170.910550876,195.941022,24399415.3025,14.9011118992,10,
148,170.996156881,158.840502,249200392.718,6.19841236661,10,
150,171.138299614,81.609045,50185332.9855,3.20084357681,10,
151,172.000987388,720.73356,232915243.982,5.19824624044,10,
152,172.021991105,824.21892,1352140.10033,9.35437994469,10,
153,172.038868602,25.6564008,5497391.86831,5.88986098759,10,
155,172.097167506,269.504298,34785182.2824,1.64942139489,10,
156,172.998098669,315.373044,2822217.06951,2.80332578633,10,
610,267.110570783,650.38854,49068035.4671,11.7357428159,2.0,[M+Cl]-
159,173.092460654,553.96617,180747587.05,11.8837795338,10,
160,173.092442002,693.92136,31086595.1475,3.36882536974,10,
161,173.092462002,637.45902,159748659.056,12.3319474973,10,
163,173.11762389,86.177808,41650471.0635,7.66993832792,10,
164,174.035969344,44.1869052,8332856.5732,4.73176213082,10,
169,174.112702309,478.996866,1818212.18156,11.2038235404,10,
170,174.9540848,22.4247075,2345716.28002,14.0331365932,10,
171,175.046734052,663.10818,2741873.03556,11.0363224301,1.0,[M-H]-
172,175.071742335,625.07382,37291837.186,13.8963698416,1.0,[M-H]-
455,243.018251295,663.75198,622437980.834,7.90375152128,2.0,[M+Cl]-
174,176.816760938,118.810905,5606967.20686,4.73478285927,10,
175,177.009218709,85.534743,414376.627789,8.82282656626,10,
176,177.091495343,84.922074,16929609.1653,13.4972708934,10,
177,177.095443346,602.91174,5343262.36779,6.6630783495,10,
254,200.944633641,779.8296,305777777.435,8.16948010751,2.0,[M-H+NaCl]-
181,179.055545058,529.263618,388486171.025,6.67212897643,10,
440,239.077327383,732.02898,69158408.5329,8.09009558588,1.0,[M+H3CCOOH]-
564,260.023655859,55.9072233,45671740.9823,0.0137352646813,2.0,[M+Cl]-
185,181.069209825,54.360255,349210.315118,13.8714600148,2.0,[M+Cl]-
186,181.069300792,83.977662,1194014.85659,9.13762085275,10,
187,182.056507113,618.68352,14997503.7431,6.46550292211,10,
188,182.112094575,980.34144,15843536.9341,9.54250225958,10,
189,182.129293289,617.71776,5859056.72726,5.73251055701,10,
190,182.129380356,85.548552,1096078.78494,3.53600231954,10,
191,183.010739383,45.7975434,4558066.4133,3.38322643343,10,
482,246.029945265,680.82384,45660701.1116,13.3244534081,1.0,[M-H]-
193,185.092648656,691.06551,122833772.551,5.95177420771,10,
194,185.117789548,85.862979,17662364.7006,12.8891780231,10,
789,291.196929152,79.55997,12417595.8395,14.4978218563,2.0,[M+Cl]-
384,229.155735471,300.596868,1338595672.71,9.50374188965,1.0,[M-H]-
197,186.016848738,700.04154,181201994.743,13.7757724323,10,
198,186.03773589,742.49724,375206680.222,8.01951400807,10,
200,186.928795377,780.97314,5070703.06508,0.447258211363,10,
201,187.0120721,721.0506,15277594.8668,13.5906740655,10,
203,187.108153298,529.938567,208782149.973,11.7927434483,10,
204,187.096996845,546.632874,35480633.0363,11.9159513238,10,
205,187.10820553,559.980912,316137509.58,9.97014764308,10,
206,187.108262995,590.77326,551580425.381,7.74298942216,10,
207,187.133460598,85.863942,32753396.2275,12.3667142231,10,
208,187.860317822,88.363863,2136125.37338,7.58201017319,10,
212,188.111564312,494.344338,25168294.4317,12.1876964092,10,
213,188.90314161,199.485216,2673332.49178,11.7800362725,10,
214,189.045002696,459.654435,109231536.153,7.05671794077,10,
215,189.087591125,630.00864,93679325.1612,11.2698134818,10,
216,189.857540102,88.363863,1246161.32109,13.4604273558,10,
340,219.977177893,89.320026,93348538.2127,11.1922397923,1.0,[M-H]-
218,190.053923923,196.303836,33891425.1952,12.31116117,1.0,[M-H]-
315,214.861342281,106.040172,2336730.95237,11.7417284201,1.0,[M+H3CCOOH]-
700,281.016001903,84.29355,12445551.1457,4.89718130966,1.0,[M-H]-
221,191.066823094,695.20656,80614556.8753,6.86402698679,10,
222,192.070156083,695.20239,5189957.91222,14.0313818412,10,
223,192.958233383,193.405545,110940459.851,6.8148320013,10,
225,193.122961661,83.97942,13226627.3212,7.39884724975,10,
226,193.159383302,84.44904,457167.679991,2.39023557289,10,
227,193.978637574,269.187678,53193330.7211,4.20798123895,10,
230,194.905506933,849.6705,5576587.87422,14.7872833101,10,
746,286.912686638,879.63501,46649226.7022,12.0249187721,1.0,[M-H]-
232,194.905521867,1722.67938,8933330.34349,8.91941888197,10,
233,194.905411373,1132.92657,55654820.926,4.35888743773,10,
234,194.905371784,1153.88703,24289237.2106,6.84338538084,10,
235,194.90543307,1445.466,45426634.4798,3.01947762954,10,
236,196.061131206,615.46338,83658418.4174,8.85821921044,10,
237,196.058651289,644.72742,32467198.7892,8.05265413776,10,
238,196.13393609,84.763413,435434.24334,12.588420746,10,
996,316.117309159,856.14264,1833398398.76,9.10060672361,1.0,[M+H3CCOOH]-
1141,342.265656785,85.534812,498852.246299,14.6219673016,1.0,[M-H]-
243,199.006627688,80.054718,2078188.49971,1.127244181,10,
244,199.037434164,282.408816,17258843.7541,7.82470267301,10,
246,199.108489432,85.849884,289517.006842,9.99459752631,10,
247,199.133663072,85.549692,22512922.7139,14.8496171536,10,
248,199.181120775,276.708756,14296805.4252,12.4618663535,10,
249,200.050694334,133.234842,15532503.1469,7.05214178631,10,
1081,331.07921,177.172596,64441346.7661,13.5865695955,2.0,[M+Cl]-
252,200.053582645,720.264,104930620.873,8.80777152626,10,
253,200.176655871,953.27016,2997065.83328,2.56666048621,10,
255,201.113352482,518.107956,5365938.79866,0.454065892234,10,
257,201.1352705,1350.22914,47177231.3025,1.23448990181,10,
260,202.11937566,1242.21342,41967455.9693,12.1270193767,10,
262,202.152643835,85.863942,6383725.66641,13.0077734214,10,
263,202.93865416,819.7671,40240356.6842,9.43695994259,10,
264,202.987053787,89.949648,17461421.031,14.6576279782,2.0,[M+Cl]-
265,202.986995033,488.147628,254178163.055,14.3517794229,10,
877,302.097681533,693.92136,2942995.43084,13.6236232049,1.0,[M-H]-
267,203.022688321,88.690794,13673217.9548,5.8092995599,10,
268,203.128241876,550.201644,4466473.24135,1.93315407274,10,
982,314.172930926,594.604314,166687560.705,10.7870233886,1.0,[M-H]-
2243,650.362919229,86.006046,820358.422465,2.37020783601,2.0,[M+Cl]-
271,204.123917629,909.40482,12951621.8582,7.3701875495,10,
273,205.06487591,602.16294,117744230.927,7.17275116605,2.0,[M+Cl]-
276,206.080080527,661.88169,1996227.8691,7.9171187087,10,
277,206.085986691,660.4383,30468034.2622,14.9667649438,10,
1048,325.021863564,664.3128,9263082.29782,12.1653006869,1.0,[M+H3CCOOH]-
611,267.120357997,696.49482,3049257.13559,14.9303454407,1.0,[M-H]-
282,208.100910826,75.535422,4049133614.49,13.6399190316,10,
283,208.934416831,2063.67966,66734308.4533,3.99175872494,10,
284,208.934413858,962.59524,143715901.007,13.4990677954,10,
285,208.934357463,1180.14444,115575117.438,7.50996872391,10,
286,208.934482796,1721.1558,100375155.834,6.10036504401,10,
287,208.934458331,1890.85395,118021098.477,4.10593442895,10,
288,208.934382629,53.0563536,69907856.8683,8.74082955588,10,
289,208.934421419,1946.28804,89510328.3521,4.79668161432,10,
290,209.069888852,592.051716,1680644.96768,3.29901596308,10,
292,209.934088605,7.5642126,8900257.14091,10.6435657104,10,
294,209.941594829,1800.92235,20451792.1152,11.0514321955,10,
295,210.015752145,78.167862,3325137.09904,2.08757643582,10,
642,272.045953825,645.0492,17702534.4714,8.75143761712,1.0,[M-H]-
297,210.93149783,1721.03694,41726546.7767,7.973593343,10,
298,210.931555449,1772.33394,42186613.6805,3.79883343848,10,
299,210.93139694,1619.84526,52914743.4118,3.53594730851,10,
300,210.931385776,1602.65883,52577001.9399,4.04261406949,10,
302,210.949135412,89.635353,462730330.993,0.0317128424494,10,
303,211.097392559,85.863942,14613340.5367,14.6721877714,10,
305,212.032917454,644.84871,17279713.2383,3.4902109132,10,
306,212.05941051,572.345178,134279910.811,6.43102046568,10,
308,213.011956989,85.0635,371491.622104,4.74748177175,10,
309,213.016838708,13.0623408,1247794.10774,14.7459483074,10,
310,213.016805913,47.8931082,1262452.05836,3.26156658577,10,
