peakID,mz,rt,maxMeanIntensity,RSD,bestScore,bestAdduct
1,102.999273191,106.235877,86289858.9759,3.45108828815,10,
2,103.054526583,457.843605,18985697.423,9.05264933291,10,
3,103.061769842,27.4914714,1221419.48085,8.3297024502,10,
4,103.07565613,81.148881,1556699.21389,2.53582225325,10,
5,103.087253094,836.98668,43858832.1081,1.64631589896,10,
6,104.107361323,797.28852,6232271535.26,0.435897234071,10,
191,165.111971301,81.187434,37089021.3047,0.775658054817,1.0,[M+H]+
8,105.995866036,767.56254,39926199.8824,0.728760131024,10,
9,107.032883785,80.909202,156511.988555,3.77428429592,10,
10,107.085727987,67.987806,16997061.9553,3.44484186042,10,
11,107.085818498,265.166904,4390405.3102,0.122382300812,10,
12,108.089154828,265.97151,325450.541146,1.52855123836,10,
13,110.027304798,686.33262,217207.769763,3.43608062329,10,
14,111.080500939,67.987806,6828262.31757,2.35967520011,10,
697,244.092448755,378.336078,65043399.5488,2.06350214178,1.0,[M+H]+
16,112.087182693,1170.79824,283759352.754,2.11413847025,10,
17,112.978581068,52.8207336,11270608.1952,14.8405714952,10,
18,115.094842136,80.41644,1443166.59565,2.67936674779,10,
19,116.070827809,650.39106,118238109.192,1.14009422139,1.0,[M+H]+
20,116.107166667,47.9031066,1340035.83141,3.40355693617,10,
21,116.143627502,227.216634,942441.881505,3.10159297665,10,
22,117.01915977,51.4658094,664464.437935,13.1531300337,10,
24,118.065159934,68.501664,33625718.9691,5.77338660554,10,
25,118.086442758,604.71228,862339383.296,2.08431699308,1.0,[M+H]+
26,118.085532631,83.173245,1078488.54483,12.283785794,10,
27,118.507801883,84.651435,20371764.3016,11.1380487535,10,
28,119.049245135,77.729001,203506.024864,8.49832939829,10,
29,119.052574331,81.187434,1236689.72447,5.68227703995,10,
30,119.085495607,68.61156,9170696.3932,5.48273320224,10,
32,119.089725188,582.907866,13593282.0525,1.00411447904,10,
33,120.047875624,153.231978,74168408.7871,10.6395639825,10,
225,172.111830937,82.547556,422740.770693,3.38479248447,1.0,[M+NH4]+
796,254.138290502,101.836566,360613.302146,7.86517367744,1.0,[M+NH4]+
197,166.086054813,457.33896,1529179370.58,1.44217061683,1.0,[M+H]+
37,120.966214493,755.53848,158381627.212,12.7937174662,10,
38,121.064960752,355.677564,52117714.5622,2.63037688168,1.0,[M+H]+
39,121.068270884,79.014552,5456833.43606,3.71172161176,10,
41,121.101113203,69.236688,9287155.4435,10.0871405323,10,
43,122.071354713,973.08426,133611577.323,0.6509712603,1.0,[M+H]+
44,122.096444791,74.028981,1932093.20902,12.4572744675,10,
313,188.127905357,265.166904,348782761.394,1.40381454732,1.0,[M+H]+
46,125.031480091,48.7929678,849598.666062,14.6188688842,10,
47,125.042736187,324.113481,3826914.82779,2.48887162839,10,
48,125.070984833,121.546695,2535525.46756,2.13552196616,10,
49,125.096026787,67.987806,33071078.8378,1.06025566105,10,
51,126.110773681,227.608263,1641598.91292,12.146326881,10,
52,126.127739554,79.074612,335673.663479,12.951322563,10,
53,127.086606434,103.456206,46499837.5943,5.49940064945,10,
54,127.513262228,106.461333,43100363.5742,2.93778951184,10,
55,128.017754375,567.60936,338483.277663,0.723218685638,10,
56,128.106838506,68.321241,8285898.63997,5.14530349908,10,
57,128.143466998,220.460124,37888161.4868,2.26421801099,10,
58,129.102391314,492.173886,31372505.8515,7.01549063169,10,
60,131.085385229,69.90405,11942785.7407,7.10359279129,10,
61,132.101860065,485.899152,1993055569.77,2.49079493156,10,
62,133.031753173,538.156404,14288429.5836,9.63555081716,10,
63,133.072007529,230.42682,1390908.77876,7.00752862205,10,
169,160.011751472,31.0536036,294832.294828,4.0309579641,1.0,[M+H]+
132,152.070505158,206.177055,21324395.2993,1.22998681065,1.0,[M+H]+
67,134.978542508,89.679318,48248288.1453,11.2792483254,10,
68,134.98984601,41.9410374,285623.017909,0.0939687934043,10,
70,135.116636587,68.654556,22595206.5986,0.328619044018,10,
1111,285.082534903,560.579664,47577029.8645,3.00629488264,1.0,[M+H]+
72,136.014053215,485.899152,1693166.88317,4.60359694949,10,
