peakID,mz,rt,maxMeanIntensity,RSD,bestScore,bestAdduct
1,101.070617507,117.821064,1301795.41043,5.76693044903,10,
2,103.002229281,157.222764,1655872.56391,6.27021676235,2.0,[M+Cl]-
3,103.038640807,418.480197,11730420.3282,7.85173834144,10,
4,106.921395478,267.885498,1736195.72093,8.98732860391,10,
324,216.033319308,217.638789,95699241.4023,6.44512490605,2.0,[M+Cl]-
6,108.918432146,269.436972,1717497.31075,8.87424087064,10,
7,110.023330031,177.130638,10045392.6898,3.19028163629,10,
8,110.034599388,204.329148,2741952.85929,9.28708338351,10,
9,110.956555132,81.806778,4041984.63048,14.7892802361,10,
10,111.018678708,112.861746,47916675.6706,2.00696419045,10,
12,112.984164972,69.168408,283791132.072,12.4464519981,10,
15,114.054705954,665.34318,22131259.4651,0.340299628555,10,
306,211.097226436,124.309377,40019475.9317,4.19326752141,1.0,[M-H]-
17,121.039447632,97.50204,8119521.5479,6.24679804223,10,
18,123.026779341,318.203091,5588051.85732,13.7057549406,10,
19,124.006090583,569.833656,1736864.5944,3.99591263198,10,
20,124.990153391,271.883628,2663774.64159,5.40829022184,10,
21,125.945151348,249.967608,3674625.32479,10.6788162337,10,
139,169.990865864,166.101318,11260281.5795,7.40712635645,1.0,[M-H]-
23,126.903689657,68.381457,611307057.908,13.1772205285,10,
347,219.977286877,89.896098,11298698.3983,6.48243193677,2.0,[M+Cl]-
25,127.942194635,268.526364,1656461.26068,6.55942786474,10,
26,128.016298256,163.956435,1601200.86473,4.22076333097,10,
27,128.890942484,238.55511,42452187.0403,8.48717482701,10,
28,128.890919885,273.350442,15000215.7475,6.93184266764,10,
29,128.931723302,89.597451,807524.572454,5.12039695702,10,
1097,341.073823641,95.270238,60473705.0739,2.96668921361,2.0,[M+Cl]-
31,129.065763412,117.646488,18632033.2062,1.85540668939,1.0,[M-H]-
32,129.090873202,99.390237,299529076.925,6.60877375951,10,
98,155.910108241,236.098917,43431439.0827,12.3205503884,1.0,[M-H]-
36,130.888074717,238.064415,49778528.7492,7.38308644104,1.0,[M-H]-
37,130.888041689,273.350442,18141223.5137,9.35643869207,1.0,[M-H]-
39,132.866671351,1676.99328,7285907.35431,10.827683268,10,
41,132.885175228,273.350442,7328837.35716,4.67462710536,10,
494,248.989750328,96.214857,4476258.62902,11.6689226824,1.0,[M-H]-
