peakID,mz,rt,maxMeanIntensity,RSD,bestScore,bestAdduct
1,103.020831693,106.141794,153334.849412,11.5307269996,10,
2,104.107292485,558.557445,7017832676.64,8.65003820363,10,
3,104.992580842,772.116,568227033.453,9.86905591705,10,
4,104.992580179,815.12691,3615587340.6,8.5869237569,10,
154,170.117180541,68.55984,151815061.49,7.50500297288,1.0,[M+NH4]+
7,110.02731339,689.90823,2870445.81114,6.3333614811,1.0,[M+H]+
343,227.113474154,963.38952,10662990405.9,8.02472001018,1.0,[M+H]+
9,111.536925129,138.71796,5102303.16629,5.03963842082,10,
10,113.03475579,177.477468,10804382.0048,9.06412238227,10,
11,116.107165119,470.396652,18065992.3903,7.59020171622,10,
14,118.086384832,609.8787,2805396519.75,5.6541434769,1.0,[M+H]+
15,118.086398601,587.050521,777932740.015,9.03176540754,10,
16,118.122841753,487.154808,19959986.8654,4.23344980502,10,
188,182.08099887,561.755328,2202640111.31,5.99864517756,1.0,[M+NH4]+
260,204.086341241,102.532356,9104848.93317,13.1106791439,2.0,[M+K]+
20,119.126210369,486.982608,1225831.3109,3.87541717507,10,
21,120.080836563,104.09967,21372229.1495,2.54411406844,10,
22,120.080877995,462.637272,1214795399.14,5.72126348387,10,
24,121.064988434,101.970297,6104506.2651,8.68904262701,10,
25,121.084193771,462.796458,112860039.701,8.913725879,10,
26,121.101144555,68.692404,8775188.3081,10.3583867447,10,
27,122.068258533,436.098078,305915.702949,5.07966608394,10,
28,122.071341035,963.22908,46427499.5225,1.28043622132,10,
30,123.055314476,84.286224,475626974.474,4.27643514225,1.0,[M+NH4]+
31,123.055291898,102.022986,2856507270.22,9.71165652053,2.0,[M+Na]+
32,124.039385299,322.018146,180808768.498,9.89941522488,10,
211,188.127879688,244.626978,58473845.0904,2.53392947178,1.0,[M+H]+
242,197.164722271,221.444277,11260117.1751,2.24976784358,1.0,[M+H]+
37,126.021954673,578.783769,39853812.5159,3.04711361241,10,
113,158.190184259,186.230643,96119626.8039,11.4852894978,1.0,[M+NH4]+
40,127.086476966,104.414859,8066942.70349,13.7519453787,10,
41,128.143387381,213.545286,16591116.3999,2.76121599393,10,
42,128.953456775,817.31793,47587257.0496,6.9024639181,10,
43,129.102243214,470.630712,114709876.191,5.31220389748,10,
46,131.068302016,75.097014,557395.57902,13.9368153375,10,
47,131.081438888,117.853356,42679436.349,10.0216298589,10,
160,172.040117923,159.052134,32032790.8611,8.85501720149,2.0,[M+Na]+
49,132.080728447,450.119901,73444730.4684,12.2379029706,10,
50,132.101899587,495.444858,3950464020.68,6.96465310827,10,
1377,434.133671041,573.477465,1835892.6534,8.51546570481,2.0,[M+Na]+
53,134.081037294,104.414859,31533228.8742,8.02479877604,10,
632,285.082473913,573.485712,254871798.755,5.37169914611,1.0,[M+H]+
534,268.103708594,171.044628,551518515.971,11.6117528439,2.0,[M+Na]+
57,136.075577441,561.594765,320349940.79,6.41909486552,10,
58,136.940118246,829.78425,153207946.667,5.86194947652,10,
548,269.087479365,276.530118,732740052.325,13.7994698101,2.0,[M+Na]+
61,137.064987209,151.490307,9051097.90117,6.6699871586,10,
63,137.132221883,68.859336,10967918.4444,12.1754996819,10,
822,315.056054518,623.29668,1577586.11533,14.8431276528,2.0,[M+K]+
285,211.118701013,141.668505,11007332.1442,2.68851392264,1.0,[M+H]+
67,139.097670853,555.336822,3137628.17838,9.30389154004,10,
69,140.99469439,820.92303,8508533.24018,13.8086844579,10,
404,242.099602976,488.064246,17405633.7141,6.7341454806,2.0,[M+K]+
72,142.122372505,68.55984,34516333.9675,9.38553601287,10,
73,142.938425991,778.25937,141815463.07,5.10483073681,1.0,[M+H]+
270,206.100183888,450.280524,172919288.521,4.49063992058,1.0,[M+NH4]+
208,188.070388987,449.959026,1435921467.08,4.88314292741,1.0,[M+H]+
76,144.047629582,862.79634,213997390.874,8.9303695069,10,
334,224.175465685,194.383149,27833885.9931,3.45448495109,2.0,[M+K]+
262,204.122832084,722.50014,813920574.676,13.9018544471,1.0,[M+H]+
81,146.01869552,771.64374,70229971.0126,13.9168460171,10,
83,146.071101348,963.54915,33252963.9285,6.58626508753,10,
84,146.117381594,452.43783,155993709.524,4.98542542142,10,
86,147.07634139,744.30333,500571120.739,7.75073205427,10,
88,147.112678695,1398.72879,2072884478.79,13.3702485961,1.0,[M+NH4]+
89,148.034295731,776.904,6553677.12627,8.37485506095,10,
917,332.082068522,102.845235,108256528.382,14.2154225659,1.0,[M+NH4]+
91,149.026238139,81.720168,16923312.6377,14.0936672213,10,
92,149.132201084,68.882907,15458068.6686,2.61584810131,10,
93,150.077315689,442.768839,60516687.0172,3.13334329736,10,
237,195.122522111,109.041738,77246210.8995,8.85260383707,1.0,[M+H]+
1626,514.872170822,733.73328,26659420.8481,13.3200208869,1.0,[M+NH4]+
180,180.08776938,218.179722,11926614.415,1.34187949724,1.0,[M+H]+
432,247.057512453,640.15755,77814047.0999,4.34125831422,1.0,[M+H]+
442,249.05349157,74.538594,6784947.24335,10.5628685744,1.0,[M+NH4]+
99,152.106684064,68.55984,13107595.1606,4.97248197628,10,
104,154.158856343,192.19716,160500730.536,2.3880605331,10,
648,287.199230664,61.614837,17114497.8429,6.85142795839,2.0,[M+Na]+
108,156.07658466,963.54897,403104946.217,4.50242033674,10,
1164,375.197835934,68.259222,8534475.56368,14.3469375047,2.0,[M+Na]+
513,265.079017694,112.903548,2189964.15196,10.547509515,1.0,[M+NH4]+
111,157.17793002,184.434576,15911046.4705,1.63449441644,10,
112,158.117233167,69.524532,16736068.7029,2.2448907805,10,
515,265.154215347,206.432244,18358876.8181,3.2440841747,2.0,[M+Na]+
117,160.133066045,957.81906,12941472.8328,7.26748245331,10,
118,160.901294022,829.78425,9995391.91791,5.75810715356,10,
119,162.050002346,590.582544,8715641.00648,6.61507062355,10,
120,162.104251455,213.874284,38850384.2992,1.34521168583,10,
121,162.112238903,815.59602,306211474.428,6.35132990836,10,
446,249.148150783,102.62754,13997315.4869,7.18775424543,2.0,[2M+H]+
123,163.041726752,75.466146,2434604.36845,0.353368538149,10,
124,163.107495315,973.44075,58838574.0618,5.88430783031,10,
186,181.993228792,102.845235,16765369.5982,9.46488264465,1.0,[M+H]+
128,164.056489589,232.965366,96241048.0268,4.1915718621,10,
131,164.119947509,209.472024,6387888.7219,2.3800972485,10,
137,165.919697624,780.04674,3178604.27094,7.94900022499,10,
138,165.966662323,699.06243,951626848.849,5.15392302778,10,
139,166.047304444,119.257326,9262216.65227,4.81977793441,10,
140,166.057726025,561.899382,22542064.5862,6.03818499643,10,
141,166.086082369,462.879849,4546438755.4,5.77824946873,10,
142,166.086156907,531.08037,83260398.1291,5.30563181161,10,
144,166.133694235,245.457612,3236969.0814,6.16299608468,10,
146,167.078704042,110.694414,4322871.45161,1.28859995525,10,
147,167.08923923,462.879906,445238008.28,7.03169114186,10,
149,167.142704979,69.234912,7479781.54656,3.11123013258,10,
151,168.122850564,108.947178,20314753.0571,14.3614001253,10,
152,169.037189594,47.3000286,1576200.11661,8.5390969334,10,
1004,345.133284324,102.460551,10470534.0497,14.3121165503,1.0,[M+H]+
156,170.128497325,479.329731,121931266.647,12.6133553439,10,
157,171.101215519,68.588034,7036486.24471,5.34318411788,10,
161,172.205833857,167.836638,74621725.1905,3.88502640706,10,
163,173.07825644,108.673113,45102317.4275,2.2314002336,10,
166,175.086347572,99.065586,32281239.5527,6.31114587178,10,
167,175.107637277,642.7656,22211207.7274,5.12239519177,10,
168,175.118850979,1452.77958,942958729.779,9.61213296546,10,
170,176.127745352,457.94271,1686217.14054,12.8733925589,10,
1199,387.223282871,610.93137,37214390.1594,8.13522370362,1.0,[M+NH4]+
172,177.061768441,663.80664,1309650.81854,4.23946238665,1.0,[M+H]+
173,177.08692031,668.0826,20024439.6754,10.1289342849,10,
175,177.163347622,68.755476,7476345.64616,13.4704870774,10,
176,178.135492047,197.642655,1125616.5993,6.2402305177,10,
177,178.873290751,829.5918,754155.997318,12.6193020892,10,
178,179.982264139,686.53527,12217659.8749,5.26806547148,10,
179,180.076565772,964.52784,31018171.761,8.32709782565,10,
419,244.263256038,171.85419,82712381.3116,6.34360833914,1.0,[M+NH4]+
868,321.130467755,121.153497,37680518.89,6.35346997385,2.0,[M+Na]+
187,182.080946247,100.450869,20794465.322,14.8610834817,10,
190,182.153591319,68.55984,20346238.4581,8.30103434324,10,
191,182.19021858,166.14495,42463447.5338,4.50099931726,10,
192,182.190223093,181.161399,141244050.879,2.2090191216,2.0,[M+Na]+
195,183.964983655,778.57368,33212968.2554,9.55239023857,10,
475,258.109738359,860.5089,3405853881.51,3.83824961167,1.0,[M+H]+
197,184.09006527,214.860606,411191.870441,4.92991559104,10,
316,220.117733325,529.34076,236364962.302,2.34844851081,1.0,[M+H]+
199,185.006025362,89.868924,3157107.1454,13.3437630721,10,
200,185.037805313,490.653738,984781.537822,3.1130051829,10,
202,185.139471684,105.610059,155294.212679,14.4857726543,10,
204,186.159987171,446.840898,2482855.52865,8.55398748222,10,
205,186.22142802,157.41333,360793543.918,3.03120836243,10,
206,187.998464835,772.58862,63154189.8272,11.5228717971,10,
209,188.119854563,190.801212,3921900.00253,4.37226692055,10,
210,188.127700318,68.55984,83681600.455,2.84164769724,10,
212,188.987803896,102.845235,6269872.85641,10.9207604359,10,
213,189.052149235,108.663357,12987823.6549,7.93988502335,10,
215,189.12304616,102.845235,43604017.3979,6.76932599555,10,
216,189.123170154,593.935794,105813334.136,5.76628591169,10,
217,189.123154414,549.903564,30283273.6294,6.16711108588,10,
218,189.131170294,244.525098,5717308.99026,1.91032118591,10,
219,189.134344764,551.098008,4687436.82676,14.5883520209,10,
220,190.13548043,193.081446,42319269.2316,1.3791876351,10,
221,191.102518954,684.23748,19680372.1031,8.13428206045,1.0,[M+H]+
222,191.102496512,636.30804,8806085.42091,6.90685688034,10,
416,244.190180016,67.623774,53986979.8781,2.60785240108,1.0,[M+H]+
224,191.138801118,193.081446,4541060.90691,4.56242916105,10,
225,192.024149187,757.28544,244133443.116,8.15085510647,10,
227,192.132521429,193.081446,13804926.7184,1.60085372191,10,
228,192.195397487,65.142396,680624.705093,7.03064219578,10,
229,193.081888256,701.28543,18378951.0613,8.06083457911,10,
230,193.081728294,631.80492,530435.874427,13.3146751307,10,
231,193.105183983,435.754602,139565.799616,13.3132829464,10,
233,193.993294043,102.845235,8860448.32586,7.68515336972,10,
235,194.153610302,74.811966,20383113.098,1.66510975036,10,
394,238.044733025,787.69941,113694897.819,8.73954402536,1.0,[M+NH4]+
238,196.107905899,625.53168,20450101.1121,10.6882420169,10,
239,196.096711652,448.506651,15678301.801,7.63336043539,10,
