peakID,mz,rt,maxMeanIntensity,RSD,bestScore,bestAdduct
164,146.044318452,785.61765,1415574025.93,3.91104121899,1.0,[M-H]-
2,102.054378708,522.267732,12415535.4095,10.6474838877,10,
3,103.002027583,92.964246,12816062.813,1.97792165654,10,
4,103.03844654,121.956747,24497507.825,3.3933385383,2.0,[M+Cl]-
5,104.033626256,688.13616,112515320.392,2.95506553694,1.0,[M-H]-
8,106.92121377,151.516266,3278220.97764,2.11930124066,10,
9,107.973444615,40.7409828,1439488.72715,9.88595044768,10,
10,108.010919373,595.899912,2560903.97433,2.06600246306,10,
11,108.900376901,143.996169,128344183.181,4.81195364529,10,
12,110.023082735,105.612588,72301748.6322,2.02008004761,10,
193,152.081502089,96.009711,2260906.39941,4.9885479713,1.0,[M-H]-
14,110.070768563,1008.24513,29340436.1901,0.724543817605,10,
15,110.897460464,144.15423,95858178.6719,6.05576660869,10,
16,110.956293779,49.4544519,473635.85054,6.34987384257,10,
17,110.974049593,49.4544519,36910703.1303,1.58050520398,10,
19,111.018342667,64.807794,117235062.426,3.0428799718,2.0,[M+Cl]-
20,112.015378327,64.668723,576376.980736,7.04375767011,10,
22,113.020382666,91.72218,5303891.25708,6.63654369254,10,
96,131.044615061,700.00038,145405475.492,4.82132148714,1.0,[M-H]-
335,175.071005216,735.13404,59114104.5812,5.04519849326,1.0,[M-H]-
25,114.029317794,133.504374,2518552.81422,2.23303250292,10,
1220,267.074708433,510.285111,2571258.88429,7.47178643615,2.0,[M+Cl]-
27,115.013276971,68.291064,690939.993201,13.1272059657,10,
28,115.019131243,288.291114,79527930.3874,8.69820582612,10,
29,115.038440524,61.676061,44211364.4058,2.51896138003,10,
321,173.116882661,56.045532,25270594.8463,6.25643061208,1.0,[M-H]-
32,115.057826075,510.684492,16845133.4156,5.57793444463,10,
232,159.076105841,666.61872,106443857.749,3.76119641657,1.0,[M-H]-
526,203.081262995,287.187123,974759214.314,5.78822823408,1.0,[M-H]-
591,212.058537596,442.594023,11680081.6474,5.48488103205,2.0,[M+Cl]-
158,145.060258274,678.91014,1974633243.31,2.66883192415,1.0,[M-H]-
116,133.049040531,101.84844,42653549.8733,10.0274279067,1.0,[M-H]-
41,118.049386302,772.50006,23522908.5134,5.11574527919,1.0,[M-H]-
42,118.049400861,614.6478,205016730.376,1.2964066818,10,
106,132.040095068,651.71112,419356.732413,4.29840820603,2.0,[M+Cl]-
44,119.034930512,121.269699,3801429.35888,4.27378591147,10,
359,180.065185676,435.857145,2700466440.71,4.08859470239,1.0,[M-H]-
46,119.945436814,516.584718,936826.892443,3.54917514099,10,
48,122.023181916,180.062823,139328736.98,4.16555652557,10,
49,122.023102969,105.602976,16616850.2036,1.77935269666,10,
50,122.031199776,349.998549,17567829.8307,12.738419981,10,
52,123.900485995,384.010641,119926258.663,2.88546532924,10,
53,123.900395463,285.308064,69414410.9061,8.96387818842,10,
54,123.900428815,318.261978,96571118.5306,7.90950551078,10,
55,123.900457836,56.9832717,13738602.3064,7.44010512629,10,
56,123.9004872,355.547067,54750077.3648,10.9723107791,10,
57,123.900466748,335.289324,53658267.8023,5.85699390295,10,
58,123.900524401,258.808542,17407066.1102,7.32571758976,10,
59,123.900512587,233.289186,14581629.5661,13.2653417589,10,
60,124.005766672,447.189378,84573194.0414,1.53945916194,1.0,[M-H]-
61,124.040734071,574.55898,1545590.94623,6.14564130528,10,
62,124.989712714,45.070788,54947525.616,2.79020924206,10,
63,124.989815295,163.902123,12920905.3963,1.76543967011,10,
64,125.041581058,574.73817,22867913.8114,4.34220052605,10,
65,125.070405208,167.071968,5154922.35805,5.40459256121,10,
66,126.000345435,91.880679,2299071.65734,4.49868215713,10,
68,126.029367748,142.364376,5928741.50371,3.04346033036,10,
69,126.934287845,54.2085132,1209382.16402,6.24003277813,2.0,[M+Cl]-
70,126.985549546,45.2372781,2206901.16493,7.24767554134,10,
71,127.038473533,70.288761,23090247.5848,2.2151898593,10,
73,127.941941331,150.360714,1525004.99928,8.52652653707,10,
74,128.00859424,109.354458,1463500.9817,6.35586165698,10,
79,128.931392848,54.4718592,775820.267922,8.05595050262,10,
312,172.9843911,91.698372,2249223.32469,8.60388516756,1.0,[M-H]-
81,129.011184757,168.007332,1258310.45004,7.9790932938,10,
84,129.05406927,55.5892752,130574323.154,3.80107802885,10,
85,129.101823577,577.312515,2130311.6064,1.30473722622,10,
315,173.091713543,421.179474,99630810.144,6.53727457128,1.0,[M-H]-
87,129.101834215,500.923551,2179702.15537,2.49137112919,10,
88,130.049428013,590.280126,38908442.1106,2.18777737,10,
91,130.085743731,355.719378,1857539974.61,8.00991316104,1.0,[M-H]-
92,130.085711212,321.757575,2823522079.53,12.849073909,10,
93,130.105045698,577.094568,61222.6346845,14.7126330208,10,
94,130.105012212,420.953772,523102.243565,8.39137676099,10,
95,131.044778488,644.24754,5434071.69773,4.90746073724,10,
97,131.044685688,775.14033,21809816.8642,3.80915465338,10,
99,131.069779382,76.762914,79579173.0067,3.24502049641,10,
100,131.081068354,1249.13742,43942273.4277,10.2401944719,10,
317,173.102951768,1157.5191,2342532002.97,5.19208559986,1.0,[M-H]-
103,132.028621492,819.63285,74824463.7752,14.5058397212,10,
104,132.028698862,898.9851,8352060.5649,3.39349696569,10,
105,132.028671703,884.18124,6795646.19597,13.6058027133,10,
474,198.052668061,805.0638,561920.573344,5.24747434471,2.0,[M+Cl]-
108,132.065120205,638.79138,4253870.03697,2.74457764267,10,
110,132.866333933,140.993262,70822056.5065,6.53178044493,10,
111,132.866282354,166.604343,40339666.3814,3.77902810479,10,
112,132.866276165,419.69274,16204060.0921,5.49414099902,10,
113,132.866279481,442.501911,10184073.4058,14.9054907501,10,
114,132.866283904,59.966058,43602495.4193,2.28409039987,10,
115,132.866175881,355.561575,23454282.2105,8.09518819408,10,
117,133.99010724,56.8250265,153129874.77,1.4198665595,10,
118,134.02655851,435.751386,3644712.04032,5.84076677861,10,
119,134.04566973,85.649664,73911321.2809,1.5388079247,1.0,[M-H]-
1893,326.109795269,99.628392,46740344.8922,4.17752888254,1.0,[M+H3CCOOH]-
121,134.059554818,436.128714,4029936.46518,6.93856214999,10,
122,135.028345641,508.677063,13214181.1594,4.92700308528,10,
1219,267.072765817,169.549647,8901059999.39,2.78129968446,1.0,[M-H]-
124,135.029653545,108.227154,31918256.3537,5.98090890873,10,
236,159.101174078,59.1555216,15300129.5814,9.40892131586,1.0,[M+H3CCOOH]-
126,135.064723274,98.837145,3795463.66531,1.425584296,1.0,[M-H]-
127,135.969397903,167.013474,11274222.4209,3.62724041824,10,
128,135.969496859,142.13373,16059312.6949,8.47390309571,10,
130,136.031714466,509.561604,508518.516798,7.60223003127,10,
239,160.920526653,71.123994,1431789.18268,9.51613024493,1.0,[M+H3CCOOH]-
132,137.022834431,101.044563,31757905.5459,3.13553461408,10,
133,137.081751884,73.622418,5660992.85293,1.40837961824,10,
294,169.990305177,91.698372,2897014.20125,0.918109250671,2.0,[M-H+HCOONa]-
136,138.054575711,135.105678,19310271.6501,0.465056059113,10,
248,162.918527154,71.270994,1459865.10688,12.1027012833,1.0,[M+H3CCOOH]-
138,139.982970553,167.957973,16231612.4096,4.24341915382,10,
606,214.047504369,767.09694,732952880.02,5.31984537491,1.0,[M-H]-
140,140.033732391,105.573411,28162979.8267,1.27583103693,10,
514,202.082130155,821.98866,50026617.3453,11.7947766497,1.0,[M-H]-
142,140.871001022,70.762878,1236690.33214,7.39588728421,10,
1474,290.062414248,73.149798,3763455.38927,1.36433298692,1.0,[M-H]-
144,141.01529062,530.455761,16840983339.6,4.28450694471,1.0,[M-H]-
145,141.018504144,510.792609,3046750.48949,13.5027644949,10,
146,141.037063304,105.559224,1616955.71135,4.76773717844,10,
147,141.047506622,397.672995,533000.269932,3.19201545748,10,
1019,251.100779391,510.285111,1981180.6695,4.02757841869,2.0,[M+Cl]-
152,143.052927384,490.76574,300817.866093,6.19683413677,10,
401,187.107445439,425.504508,290927729.737,5.08332209673,1.0,[M-H]-
402,187.107429397,410.428041,100810205.618,3.84843464772,1.0,[M-H]-
508,201.123185422,334.482273,394352675.82,5.14222986918,1.0,[M-H]-
405,187.107456376,492.324,90566985.2873,9.91963924368,1.0,[M-H]-
157,145.060393501,577.801266,8061639.48411,1.65289758045,10,
159,145.060347408,723.60492,68641060.8816,2.59703779771,10,
160,145.060338879,708.52854,153943240.944,2.95057674796,10,
421,189.086810248,660.5622,57182399.7527,4.07648010505,1.0,[M-H]-
162,145.085490508,65.74485,31161382.5739,9.20300755011,10,
163,145.096744827,1251.3195,723771970.99,6.54027282692,10,
2293,368.118928995,458.29107,845176.484732,6.706606919,1.0,[M+H3CCOOH]-
166,146.057489966,679.15092,13792529.4028,2.65264909023,10,
655,218.102199442,348.894366,1105291058.65,2.80824202062,1.0,[M-H]-
678,220.118042979,727.56105,37086518.492,7.89957651923,1.0,[M+H3CCOOH]-
171,146.9645304,516.59778,3842131.0788,4.24981746492,10,
172,146.964378588,51.0239469,164891016.54,5.08641029994,1.0,[M-H]-
2221,359.043903803,785.93415,2383237.39686,9.2022718453,2.0,[M+Cl]-
257,164.070164152,284.722569,2329736421.81,4.88944363645,1.0,[M-H]-
177,147.064401071,678.99348,11339583.0485,3.67183618107,10,
1186,263.890588589,51.49188,3548062.50179,11.2757264032,2.0,[M+Cl]-
748,228.047811187,785.61765,7043338.15324,7.08614807787,2.0,[M+Cl]-
182,148.04226936,383.849517,223169699.193,6.68126490454,1.0,[M-H]-
183,148.968624485,51.0239469,1771469.84884,6.72966429823,10,
184,149.026370202,97.742778,992461.106401,9.34396754865,10,
185,149.044026464,354.755127,4145451.99447,11.1781674343,10,
890,242.061219474,42.5500557,14517235.5622,7.77317369947,1.0,[M-H]-
187,150.987333627,60.408636,771089.720531,1.7306859661,10,
188,151.024742175,145.36674,160231615.608,2.39477053732,10,
189,151.019717099,375.460332,1020422.79978,2.78948377727,10,
907,243.061456845,237.555354,178595277.295,3.09316701568,2.0,[M+Cl]-
908,243.061314219,105.573411,3017139827.77,3.08309263417,1.0,[M-H]-
731,226.082251458,435.857145,90962511.1372,7.06091219488,1.0,[M-H]-
385,184.821596922,70.762878,3008277.20512,3.3061296358,1.0,[M-H]-
195,152.882250181,142.340118,3490739.90268,10.0457163505,10,
196,152.9943947,378.357735,12228981.5848,4.07750278537,10,
197,152.994447669,820.21221,2460277.72894,2.67629079005,10,
198,152.99442531,766.96191,4533672.67636,3.00125264828,10,
1986,333.058434669,883.11312,712077449.476,7.50929877647,2.0,[M+Cl]-
201,153.035102906,397.811532,410263.177091,12.8125282446,10,
202,154.016522328,457.31433,3476460.07636,1.97378706342,10,
203,154.060701107,1007.13381,156282719.706,5.18021968298,10,
204,154.060716194,1156.57212,168465053.847,6.67839902496,10,
205,154.060781175,905.41938,641402293.418,11.2785271694,10,
629,216.097835409,764.55237,49960334.7808,8.13516787875,1.0,[M-H]-
208,154.989072203,56.670963,613691.140415,3.45848145154,10,
209,155.010229429,72.049932,1223207.42822,4.98134478013,10,
212,155.117520455,419.103678,8517831.74522,7.33237816816,10,
213,156.010999226,166.408476,812830.405307,0.633754550849,10,
214,156.012329665,457.320696,85999.4418354,11.0188458471,10,
410,188.066501292,652.00296,2287758.29931,4.76434577236,1.0,[M-H]-
330,174.935983517,887.0505,367098428.54,8.22731783196,1.0,[M-H]-
219,157.01036918,91.091184,3036935.87075,7.5304554995,10,
2028,337.08809625,428.565999,1656673.38328,3.57933909787,2.0,[M+Cl]-
221,157.035286957,133.662495,54605481.0312,1.5442040571,1.0,[M-H]-
507,201.123233886,416.860941,283539968.968,5.27000934408,1.0,[M-H]-
1168,262.129027488,585.845649,1570054.77077,9.08447287315,1.0,[M+H3CCOOH]-
228,158.921605758,890.34783,1236031.98632,12.1058029342,10,
933,245.005174425,68.900943,7653769.28273,7.14792640571,1.0,[M-H]-
230,159.028421478,66.995154,16618657.8085,6.81093078667,10,
231,159.039954842,553.753494,830057.646295,4.35634844854,10,
233,159.076236121,548.30589,409851.616527,7.31376671819,10,
235,159.101275942,88.215084,32518721.8211,5.07814050264,10,
237,160.060141621,826.22754,17733228.2553,7.38630231789,1.0,[M-H]-
240,160.997251993,238.032285,40484872.719,12.1530060097,10,
241,161.055397869,800.2587,15176948.8913,6.9599505531,2.0,[M+Cl]-
1125,259.129314324,643.72191,17005660.5913,7.41706669906,1.0,[M-H]-
243,161.055360751,694.61205,22484687.7169,6.22092235759,10,
245,161.840888184,43.801242,1636596.7538,5.72382327136,10,
246,162.040774814,121.114194,62958782.2952,4.33864575711,10,
249,162.938370841,51.3387483,63478563.1661,5.99712378083,10,
251,163.044164695,121.161873,3787065.40457,5.09549044081,10,
721,225.098233462,1007.9277,3981162722.11,3.08717020623,1.0,[M-H]-
1291,273.97564191,70.776189,470724.305511,11.7461414959,1.0,[M-H]-
254,164.000928197,79.439832,12133267.0571,0.718916589511,10,
548,206.102332848,113.474052,1381236.43132,0.178609974914,1.0,[M-H]-
258,164.081476898,55.9025253,1693351.95085,6.38782772974,10,
1075,256.093278177,111.072879,8858052.3476,2.21648761189,1.0,[M-H]-
260,164.837976007,142.99482,16344109.8478,9.04048310722,1.0,[M-H]-
802,233.076988915,883.27263,7058200.9698,4.97216244333,1.0,[M-H]-
1734,311.139551388,73.962909,6165734.68272,7.19093713736,1.0,[M+H3CCOOH]-
264,165.893019084,70.629489,2090885.00025,2.5444684721,10,
265,165.969766762,595.888476,341780.66877,4.8241183187,10,
1072,256.039136669,142.54575,4987932.69241,12.6640987716,2.0,[M+Cl]-
267,166.01664929,70.8288,1819658.87508,2.90522859901,10,
268,166.021154581,349.841049,74961702.5724,13.9211474868,10,
1432,286.101396689,416.701071,2239609.85766,7.7212305772,2.0,[M+Cl]-
271,166.021215899,679.01628,23490145.3561,4.52928410732,10,
272,166.021216683,435.94113,27190048.2475,10.3242522579,10,
273,166.060801959,518.402172,392339.207297,13.3385345395,10,
274,166.0609288,497.21958,1051545.95761,7.30076088361,10,
275,166.859185749,142.364565,5389331.74503,9.05273889166,10,
276,167.027042624,68.900943,38432291.6525,7.32881978416,10,
277,167.069946477,55.4115402,4167604.04981,4.20734471992,10,
278,167.850161336,71.086755,4837280.5371,4.37479179099,10,
280,168.040179187,158.790903,4742150.08542,1.68669926456,10,
282,168.032324181,138.611403,1971844.8792,3.86126916548,10,
283,168.032376866,651.29292,127187.98255,11.6402918688,10,
1788,316.115841677,820.30809,643414584.888,7.03279100527,1.0,[M+H3CCOOH]-
285,168.058668701,397.70874,10093857.0829,3.00881157326,10,
386,184.830383387,142.576428,7940661.55507,8.87816611219,1.0,[M-H]-
287,168.856236128,142.13373,5801818.39974,9.38590924632,10,
702,223.084715747,81.032253,1961295.72675,0.819993356898,1.0,[M-H]-
290,169.062053445,397.892316,415200.707378,10.3803788969,10,
293,169.972578872,69.190203,722996.370335,7.45571063243,10,
296,170.042159387,594.537042,51416066.3255,5.41692179842,1.0,[M-H]-
758,228.15953637,64.356096,14885384.3183,7.97685959129,1.0,[M-H]-
298,171.002830721,146.240409,2626681.65651,11.7521981895,10,
299,171.04168972,97.418292,1888337.81969,4.60624270792,10,
301,171.06498437,679.09962,2190855.27832,13.5251897212,10,
302,171.101228163,59.7815178,48501977.965,10.6612504282,10,
624,215.138947388,317.633793,402235485.867,4.24432941744,1.0,[M-H]-
305,171.99890748,116.165973,2908032.66532,2.082422242,10,
1285,273.083546497,651.46095,13905155.4765,7.31302457113,2.0,[2M-H]-
307,172.01967218,85.80885,877554.244486,2.07757610078,10,
308,172.023717695,63.730665,16127025.3763,6.04677131906,10,
309,172.096548295,126.210669,127816004.969,6.29566255576,10,
517,202.118678317,113.187294,10706456.0377,3.67122768521,1.0,[M-H]-
313,172.990026216,71.592366,616749.024044,7.06073598533,10,
314,173.00118574,167.851275,27712706.8497,5.14465603171,10,
316,173.080499966,98.402637,83889896.4432,7.14693847754,10,
319,173.091722383,577.094568,28839915.61,3.53012863767,10,
320,173.102986141,1250.01786,57965301.5237,7.28883170683,10,
322,173.116894025,69.977886,110659184.232,4.95379244352,10,
323,174.010426261,510.387378,391407.798803,2.22291991086,10,
324,174.004584595,167.967606,1109373.90823,12.2998253659,10,
325,174.087070406,730.5144,3934763.41007,5.94799911022,10,
326,174.088954569,577.745694,112746.768949,5.82614206594,10,
329,174.095151756,577.312515,2020306.1263,4.33489441566,10,
331,174.996863907,168.27972,714189.353808,8.23233320256,10,
332,175.045989683,651.68013,851796.874573,3.44260854667,2.0,[M+Cl]-
1515,293.113834002,614.62347,11582560.3417,8.14643506903,1.0,[M-H]-
334,175.071067733,640.43352,55212662.3484,2.1088584488,1.0,[M-H]-
339,176.091518297,434.603217,20450041.0661,6.16822107009,10,
340,176.894528831,71.276556,578219.522185,10.0118563914,10,
450,194.926165606,891.12495,817212589.192,6.1035378125,1.0,[M-H]-
342,176.934844823,93.280554,2637920.64543,11.4325501084,10,
343,177.027919529,69.814452,451142.231964,11.6070198605,10,
344,177.075407932,735.05382,328500.864373,12.4954320074,10,
345,177.101951969,408.820992,535650.271003,6.22927670625,10,
346,177.095001313,434.810955,1470711.22315,8.99097206211,10,
347,178.065612512,2044.4643,166008278.921,14.3180450265,10,
348,178.071966444,78.968643,1732342.40149,5.4266060845,10,
349,178.086073799,159.168765,35427796.947,4.67391786298,10,
350,178.892514639,71.281803,637362.507555,5.35593002746,10,
352,178.932087399,92.332248,895739.426186,6.09058031562,10,
1239,269.054026483,235.404621,28248555.7745,1.89682817895,1.0,[M-H]-
1382,281.021424993,67.934466,6948670.33186,9.10165435843,1.0,[M+H3CCOOH]-
355,179.054718983,690.39177,50923870.1302,6.14945559826,1.0,[M-H]-
356,179.092473071,71.724498,1955302.68464,4.63425128468,10,
357,179.869067986,70.78806,246430.739275,7.61737749191,10,
533,204.026705215,180.698145,5654481.10302,7.69011868155,1.0,[M+H3CCOOH]-
361,180.058268288,405.548616,11827639.3253,13.3710953679,10,
362,180.825671268,70.774749,3081547.15876,0.38145142422,1.0,[M-H]-
364,181.052684484,67.627086,1294817.14567,7.79031862291,10,
365,181.070449292,422.248413,4690610.52281,2.67242583677,10,
369,181.979244159,180.649014,1790800.27366,6.12658918212,10,
370,182.021264721,76.135788,7464038.45479,3.84048711275,10,
371,182.030680355,391.667715,2092298.96089,6.03757565995,10,
372,182.044443786,48.2027688,9579821.94855,6.63583599396,10,
373,182.063957014,83.44791,124984.276934,9.06713713802,10,
374,182.092282236,647.67396,2800131.40495,3.80923016103,10,
375,182.12853756,570.869352,643359.962406,10.2727187229,10,
377,182.833262041,142.734117,7623443.49423,8.71018488191,10,
378,182.833159557,164.289258,2388707.7845,9.76090824471,10,
1803,317.098397184,85.490793,3991367.80413,6.8661698226,2.0,[M+Cl]-
381,184.027171473,594.537042,5539097.50324,3.16075660898,10,
382,184.057725004,522.512928,37873878.3321,6.31296012453,10,
384,184.16936408,62.790978,13083862.0287,7.40893169199,10,
387,184.885150505,27.6967023,2251316.2352,10.7402638128,10,
1120,259.092964866,91.698372,4462608.29471,4.71000878473,1.0,[M-H]-
389,185.020743764,450.419664,9734511.98308,3.62052282337,10,
390,185.041825015,238.191177,76706434.3157,14.0843517774,10,
391,185.061057342,522.369678,2098798.999,8.86787922525,10,
393,186.016230568,594.486342,10029465.7171,6.51643626784,10,
1273,272.085771212,687.89616,10887504.6214,7.76585861972,1.0,[M-H]-
912,243.160029899,121.83123,2026736.93442,14.3193364818,1.0,[M-H]-
397,187.011278994,652.20336,416443.33348,8.46369491373,10,
923,244.076198607,114.097677,684634.606591,11.4039409487,1.0,[M-H]-
399,187.032309325,520.939026,795248.103265,8.61621897259,10,
400,187.071182626,508.988616,895311.921761,5.32667137714,10,
1524,294.035590674,510.71163,947102.094123,10.7948533988,2.0,[M+Cl]-
407,188.016393634,237.555354,8721230.86183,13.1714880378,10,
408,188.066388808,849.36774,14889880.9769,5.58550610246,1.0,[M-H]-
409,188.066369752,692.82276,18460776.0832,6.08354720001,10,
413,188.110850102,410.503866,7927361.38911,4.68449873855,10,
414,189.002879241,83.128662,629564.301154,7.05293893308,10,
415,189.050502423,834.77259,234774.943648,7.61518958053,10,
417,189.069932958,651.74631,87120.4180037,13.6295109882,10,
1654,304.075595667,578.292135,4729209.73223,4.87676937562,1.0,[M-H]-
420,189.086750222,678.88734,6663669.24061,7.03229624237,10,
422,189.102003084,317.834181,689933.455484,8.61829354998,10,
423,189.977987251,667.60641,342917.394629,7.34298731016,10,
424,189.974738427,460.906308,82615.0387715,13.7230017704,10,
425,189.984704445,510.209094,252333.996219,9.70077857161,10,
426,190.053130366,140.946258,66971641.123,3.69583754235,1.0,[M-H]-
427,190.053222651,154.610166,31883011.0668,9.54148737843,1.0,[M-H]-
428,190.96414829,44.7411723,1584309.47797,7.85918923616,10,
429,191.018538307,116.974662,43819975.6832,6.89950751312,10,
430,191.066058599,709.66614,56342673.7533,5.97330397833,10,
431,191.072121024,88.873002,422957.967484,10.3975900874,10,
432,191.117628623,322.213536,494185.393643,9.93624690434,10,
434,192.051431563,69.505074,12310494.2421,5.36445591734,10,
435,192.051508063,229.924653,5792040.65892,4.28657391168,10,
436,192.063140256,710.89602,229713.205668,12.0750038331,10,
437,192.086452537,174.976311,6060775.06782,6.73458346894,1.0,[M-H]-
439,192.957515883,2062.82688,290322354.396,3.00988495244,10,
1457,288.059253532,287.187123,6500855.1101,8.49155336898,1.0,[M-H]-
1062,255.037941935,66.051486,1123463.28111,10.61016883,1.0,[M-H]-
443,193.034144444,733.92201,56614385.5132,9.89102124755,10,
444,193.052667681,42.4186062,12159508.6546,3.14104320503,10,
446,194.011595259,53.8479228,309695.391041,12.1373176021,10,
447,194.048117485,666.7017,11707491.8678,5.71293298435,1.0,[M-H]-
448,194.044602307,56.971653,8155053.20119,5.96425728165,10,
449,194.153794912,62.659464,874894.351229,7.2339018945,10,
451,194.960794041,68.086026,3897257.77153,8.85657028287,10,
