peakID,mz,rt,maxMeanIntensity,RSD,bestScore,bestAdduct
1,102.037741151,383.85315,13423007.4115,6.93318359443,10,
2,102.103063752,136.576098,1039709.12604,8.73124021005,10,
335,162.112557703,727.06722,4967842688.02,13.0520872991,1.0,[M+H]+
369,166.086257076,284.20995,5446172658.41,3.06475346283,1.0,[M+NH4]+
6,103.087167063,561.613353,53829290.0921,4.26673181652,10,
8,104.107672698,398.663931,8683248615.97,2.74688644798,1.0,[M+H]+
9,104.992794299,531.538812,4064578997.62,0.907161097121,10,
565,188.999448097,531.026919,49373455.8934,0.918589169405,2.0,[M+K]+
11,106.04911269,384.313944,332309.73495,6.9079316881,10,
634,196.105571808,688.24779,3339772.07123,7.02770441339,2.0,[M+Na]+
242,150.058410546,79.519617,157114592.567,1.49709815166,1.0,[M+H]+
577,190.082280663,692.75568,15329681.6296,1.33262159916,1.0,[M+NH4]+
16,110.027481374,596.04237,6318799.33559,3.71624580877,10,
17,110.035267536,170.41308,33873372.966,2.60040824355,10,
400,170.092517555,900.46272,121595689.085,11.9966738061,1.0,[M+H]+
1464,264.170478185,62.097372,4757196.79799,4.19905518245,1.0,[M+NH4]+
1147,244.09301084,230.638971,766422047.278,1.66351967732,1.0,[M+H]+
21,112.05104461,110.048688,58709867.8076,2.52028723559,10,
24,113.054288376,231.318588,26378712.9739,1.85873361602,1.0,[M+NH4]+
23,113.054330431,152.448522,3128837.37289,0.860703562539,10,
956,227.175271909,54.2935524,3333613811.11,8.41591884301,1.0,[M+H]+
26,114.128120686,157.048824,5332274.06875,2.6254816557,10,
556,188.070534875,286.669791,2873663224.0,2.0549247022,1.0,[M+H]+
28,115.086938371,317.351946,65466372.0788,7.64329581019,10,
29,115.086992161,88.755177,88983236.0758,1.63202097578,10,
31,116.00136701,35.7689988,893924.695269,5.26446013881,10,
32,116.034039051,65.72319,1307243.21001,8.34313121895,10,
635,196.10813956,456.244059,19156795.7711,5.70051383461,1.0,[M+NH4]+
441,175.119066553,1156.52724,10814974696.6,3.8139009384,1.0,[M+H]+
35,116.071246018,510.844815,817881964.8,3.11538091933,10,
37,116.090311998,88.856787,4545262.52383,2.28390141623,10,
38,116.107394349,225.877104,85528051.592,3.29871882864,10,
39,117.048503328,383.972319,1366150.84314,7.37289620547,10,
726,205.097141926,286.823157,2087963079.45,4.16513138646,1.0,[M+H]+
41,117.054958079,373.698456,2332036.24515,4.17365911252,10,
625,195.116266975,79.954896,12598372.7317,11.3575264901,2.0,[M+Na]+
44,117.110682703,71.5194,763930.791284,3.5412701466,10,
45,118.032525632,384.60081,1636887.8363,13.4948039457,10,
